指標名,幼稚園～高校,,,公立,https://www.kyoiku.metro.tokyo.lg.jp/about/statistics_and_research,,,,
出典,公立：東京都教育委員会、私立：東京都生活文化局,,,私立,https://www.seikatubunka.metro.tokyo.lg.jp/shigaku/,,,,
年次,2025/2取得,,,国立（高等学校のみ）,https://www.minkou.jp/hischool/search/pref=tokyo/c=2/,,,,
URL,右記参照,,,,,,,,
備考,（2019年度：498件、2020年度：733件、2021年度：716件、2022年度：711件、2023年度：716件、2024年度：723件）,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,国公私,カテゴリ,データ年次
江東区,豊洲３丁目,-,東京都江東区豊洲3-6-1,35.658481,139.797812,豊洲北,公立,小学校,2024年5月1日
江東区,大島４丁目,-,東京都江東区大島4-18-5,35.687244,139.831775,大島南央,公立,小学校,2024年5月1日
江東区,有明２丁目,-,東京都江東区有明2-10-1,35.640246,139.796125,有明,公立,小学校,2024年5月1日
江東区,豊洲５丁目,-,東京都江東区豊洲5-1-35,35.651389,139.795538,豊洲西,公立,小学校,2024年5月1日
品川区,南品川２丁目,-,東京都品川区南品川2-8-21,35.612812,139.742620,城南,公立,小学校,2024年5月1日
品川区,南品川６丁目,-,東京都品川区南品川6-8-8,35.611130,139.736054,浅間台,公立,小学校,2024年5月1日
品川区,西品川３丁目,-,東京都品川区西品川3-16-28,35.615283,139.727096,三木,公立,小学校,2024年5月1日
品川区,北品川５丁目,-,東京都品川区北品川5-2-6,35.623188,139.731514,御殿山,公立,小学校,2024年5月1日
品川区,東品川３丁目,-,東京都品川区東品川3-4-5,35.615225,139.745874,城南第二,公立,小学校,2024年5月1日
品川区,西五反田６丁目,-,東京都品川区西五反田6-5-32,35.622049,139.716509,第一日野,公立,小学校,2024年5月1日
品川区,大崎３丁目,-,東京都品川区大崎3-12-22,35.619161,139.724766,芳水,公立,小学校,2024年5月1日
品川区,上大崎１丁目,-,東京都品川区上大崎1-19-19,35.632780,139.724033,第三日野,公立,小学校,2024年5月1日
