,,,,,,,
指標名,コンベンション施設,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,
年次,2025/2/20取得,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention_venues/,,,,,,
備考,部屋数、収容人数などは各URLを参照。（2019年度：179件、2020年度：203件、2021年度：199件、2022年度：202件、2023年度：198件、2024年度：167件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
千代田区,平河町２丁目,-,千代田区平河町2-4-1,35.68181,139.73882,都市センターホテル,https://www.rihga.co.jp/toshicenter/
千代田区,平河町２丁目,-,千代田区平河町2-7-5,35.68022,139.74014,砂防会館別館(シェーンバッハ・サボー),http://www.sabo.or.jp
千代田区,永田町２丁目,赤坂,千代田区永田町2-16-2,35.67614,139.74051,星陵会館,http://www.seiryokai.org
千代田区,平河町２丁目,-,千代田区平河町2-6-4,35.67923,139.7392,海運クラブ,http://kaiunclub.org/
千代田区,麹町６丁目,-,千代田区麹町6-6,35.68566,139.73174,スクワール麹町,http://www.square.or.jp
千代田区,北の丸公園,-,千代田区北の丸公園2-1,35.69177,139.75302,科学技術館,http://www.event-jsf.jp
千代田区,北の丸公園,-,千代田区北の丸公園2-3,35.69177,139.75302,日本武道館,https://www.nipponbudokan.or.jp/
千代田区,紀尾井町,赤坂,千代田区紀尾井町4-1,35.68044,139.73428,ホテルニューオータニ,http://www.newotani.co.jp
千代田区,永田町２丁目,赤坂,千代田区永田町2-10-3,35.67485,139.73984,ザ・キャピトルホテル 東急,https://www.tokyuhotels.co.jp/capitol-h/
千代田区,隼町,-,千代田区隼町1-1,35.68295,139.74278,ホテルグランドアーク半蔵門,https://www.grandarc.com/
千代田区,平河町２丁目,-,千代田区平河町2-4-3,35.68181,139.73882,ホテル ルポール麹町,http://www.leport.jp
千代田区,外神田４丁目,-,千代田区外神田4-14-1,35.70058,139.77257,アキバ・スクエア,https://udx-akibaspace.jp/akibasquare/
