指標名,薬局,,,,,,,
出典,病院なび,,,,,,,
年次,2025/3/6取得,,,,,,,
URL,https://byoinnavi.jp/,,,,,,,
備考,"（2020年度：1,315件、2021年度：1,321件、2022年度：1,323件、2023年度：1,310件、2024年度：1,336件）",,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,URL
中央区,新富１丁目,-,東京都中央区新富一丁目6番15号 サニービル101,35.67259,139.77328,テトラ薬局 新富町店,薬局,-
中央区,月島２丁目,-,東京都中央区月島二丁目10番2号 ムーンアイランドタワーS103,35.66345,139.78446,ぱぱす薬局 月島店,薬局,-
中央区,勝どき１丁目,-,東京都中央区勝どき一丁目7番1号 サンスクエア1階105-4,35.65974,139.77769,ぱぱす薬局 勝どき駅前店,薬局,-
中央区,日本橋横山町,-,東京都中央区日本橋横山町3番10号 NB日本橋ビル1階,35.69230,139.78232,スギ薬局 日本橋横山町店,薬局,-
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町二丁目7番10号 エル人形町ビル1階,35.68675,139.78347,テトラ薬局 中央店,薬局,-
中央区,日本橋馬喰町２丁目,-,東京都中央区日本橋馬喰町二丁目4番1号,35.69581,139.78243,有限会社 吉田薬局,薬局,-
中央区,築地１丁目,-,東京都中央区築地一丁目9番9号 細川築地ビル8階,35.66899,139.77126,さくら薬局 築地店,薬局,-
中央区,銀座６丁目,-,東京都中央区銀座六丁目12番10号 銀座龍岡ビル1階,35.66885,139.76419,薬局くすりの福太郎 銀座店,薬局,-
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町14番5号 メローナ日本橋101,35.69143,139.78009,テトラ薬局 小伝馬町店,薬局,-
中央区,日本橋２丁目,日八京,東京都中央区日本橋二丁目1番10号 柳屋ビル地下2階,35.68253,139.77327,ウエルシア薬局 日本橋駅前店,薬局,-
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町二丁目1番1号 日本橋三井タワー地下1階,35.68688,139.77311,日本調剤日本橋室町薬局,薬局,-
中央区,新川２丁目,-,東京都中央区新川二丁目16番11号 青木ビル1階,35.67525,139.78280,新川調剤薬局,薬局,-
中央区,日本橋兜町,-,東京都中央区日本橋兜町8番4号 1階,35.68150,139.77803,クオール薬局 兜町店,薬局,-
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町二丁目31番1号 浜町センタービル1階,35.68775,139.78732,しまづる浜町薬局,薬局,-
中央区,築地４丁目,-,東京都中央区築地四丁目6番6号 1階、2階,35.66608,139.76957,日本調剤 築地薬局,薬局,-
中央区,日本橋本石町３丁目,日八京,東京都中央区日本橋本石町三丁目2番12号 社労士ビル1階,35.68740,139.77085,スター薬局,薬局,-
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町一丁目29番6号 水天宮前東急ビル1階,35.68330,139.78389,ホリベ薬局 人形町店,薬局,-
中央区,京橋２丁目,日八京,東京都中央区京橋二丁目8番21号 昭和ビル別館1階,35.67748,139.77094,ファーコス薬局 京橋,薬局,-
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町一丁目5番2号 東洋ビル1階,35.68571,139.77449,スギ薬局 日本橋三越前店,薬局,-
中央区,日本橋２丁目,日八京,東京都中央区日本橋二丁目2番20号 日本橋リムビル1階,35.68209,139.77197,さくら薬局 八重洲店,薬局,-
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町一丁目4番14号,35.68549,139.78151,テトラ薬局,薬局,-
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町一丁目10番4号 宮田ビル1階,35.68352,139.78138,くま薬局,薬局,-
中央区,銀座５丁目,-,東京都中央区銀座五丁目1番15号 第一御幸ビル1階,35.67217,139.76081,日本調剤 銀座泰明薬局,薬局,-
中央区,銀座８丁目,-,東京都中央区銀座八丁目8番11号 博品館ビル地下1階,35.66783,139.76104,銀座ペンギン薬局,薬局,-
中央区,八丁堀３丁目,-,東京都中央区八丁堀三丁目16番7号 岡村ビル1階,35.67525,139.77599,すずらん薬局,薬局,-
中央区,銀座７丁目,-,東京都中央区銀座七丁目2番4号 ムサシ7ビル1階,35.67085,139.76058,阪神調剤薬局 銀座店,薬局,-
中央区,八重洲２丁目,日八京,東京都中央区八重洲二丁目1番 八重洲大地下街北1号,35.67993,139.77051,ココカラファイン薬局 ヤエチカ北口店,薬局,-
中央区,佃２丁目,-,東京都中央区佃二丁目2番7号 101リバーシティ21 7号棟1階,35.66868,139.78546,アンソニーズ佃薬局,薬局,-
中央区,月島４丁目,-,東京都中央区月島四丁目3番3号 ウィンド月島Ⅱ1階,35.66134,139.78364,恵愛堂薬局,薬局,-
中央区,八丁堀２丁目,-,東京都中央区八丁堀二丁目19番7号,35.67586,139.77634,佐藤薬局,薬局,-
中央区,銀座３丁目,-,東京都中央区銀座三丁目14番13号 第一厚生館ビル1階,35.66997,139.76921,銀座楽天堂薬局,薬局,-
中央区,晴海１丁目,-,東京都中央区晴海一丁目6番5号 202,35.65894,139.78367,日野薬局,薬局,-
中央区,東日本橋３丁目,-,東京都中央区東日本橋三丁目7番3号,35.69112,139.78415,川名薬局,薬局,-
中央区,銀座１丁目,-,東京都中央区銀座一丁目5番5号 明興ビル1階,35.67489,139.76745,薬局アポック 銀座レンガ通り店,薬局,-
中央区,銀座１丁目,-,東京都中央区銀座一丁目13番9号 テラス銀座1階,35.67325,139.76927,クオール薬局 銀座店,薬局,-
中央区,銀座５丁目,-,東京都中央区銀座五丁目5番1号 銀座5thビル地下1階1階2階,35.67175,139.76391,薬局マツモトキヨシ 銀座5thビル店,薬局,-
中央区,銀座３丁目,-,東京都中央区銀座三丁目14番4号 エグゼ銀座1階,35.67045,139.76987,銀座漢方天風堂薬局,薬局,-
中央区,月島１丁目,-,東京都中央区月島1-9-15 区立月島西仲住宅102,35.66514,139.78274,福むら薬局,薬局,-
中央区,勝どき１丁目,-,東京都中央区勝どき1-3-1 BrilliaistTower勝どき,35.66085,139.77695,勝どき一丁目薬局,薬局,-
中央区,明石町,-,東京都中央区明石町11-3 築地アサカワビル1F,35.66701,139.77519,つくだ調剤薬局,薬局,-
中央区,築地４丁目,-,東京都中央区築地4-4-12 OS築地ビル1F,35.66639,139.76881,田辺薬局築地市場店,薬局,-
中央区,新富２丁目,-,東京都中央区新富2-14-5 VESTAビル1階,35.67055,139.77493,ヘルス薬局 新富店,薬局,-
中央区,佃１丁目,-,東京都中央区佃1-11-8 ピアウエストスクエア1階,35.66974,139.78450,ウィルファーマ(株) アイリス調剤薬局,薬局,-
中央区,月島１丁目,-,東京都中央区月島1-8-1 アイマークタワー104,35.66429,139.78334,きらり月島薬局,薬局,-
中央区,新富１丁目,-,東京都中央区新富1-19-5 三船ビル1F,35.67313,139.77600,阪神薬局,薬局,-
中央区,明石町,-,東京都中央区明石町8-1聖路加タワー2F,35.66694,139.77849,薬局エスエルファーマシー,薬局,-
中央区,京橋２丁目,日八京,東京都中央区京橋2-12-4 光和ビル1F,35.67586,139.77180,ニックハート薬局,薬局,-
中央区,月島３丁目,-,東京都中央区月島3-13-4,35.66198,139.78112,みのり薬局,薬局,-
中央区,日本橋蠣殻町１丁目,-,東京都中央区日本橋蠣殻町1-19-9,35.68186,139.78332,チトセ薬局,薬局,-
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2丁目5番3号,35.68394,139.78519,有限会社ホリベ商会 水天宮ファーマシィ,薬局,-
中央区,新川２丁目,-,東京都中央区新川2-22-6,35.67395,139.78235,越前堀薬局プッシュ,薬局,-
中央区,日本橋堀留町２丁目,-,東京都中央区日本橋堀留町2-8-5デンヨービル1F,35.68883,139.78164,ヘルス薬局日本橋店,薬局,-
中央区,月島２丁目,-,東京都中央区月島2-17-9,35.66191,139.78376,アポロ薬局,薬局,-
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町2-6-8大湯ビル1F,35.67936,139.77866,ひまわり薬局茅場町店,薬局,-
中央区,明石町,-,東京都中央区明石町11-6加健築地ビル1F,35.66695,139.77570,加健調剤薬局,薬局,-
中央区,築地２丁目,-,東京都中央区築地2-11-26築地MKビル1F,35.66916,139.77203,近藤薬局,薬局,-
中央区,新川２丁目,-,東京都中央区新川2-17-12Eビル1F,35.67483,139.78230,越前堀薬局,薬局,-
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-4-10人形町センタービル1F,35.68578,139.78180,清心丹薬局,薬局,-
中央区,築地２丁目,-,東京都中央区築地2-9-6,35.66903,139.77268,(有)トラヤ薬局,薬局,-
千代田区,九段南２丁目,-,東京都千代田区九段南2-4-11,35.69366,139.74461,オギムラ薬局,薬局,https://www.ogimurapharmacy.jp/
