指標名,ミシュラン掲載レストラン,,,,,,,3つ星,特別な料理,
渋谷区,神宮前３丁目,-,渋谷区神宮前 3-42-11,35.67182,139.71394,とんかつ 七井戸／Tonkatsu Nanaido,とんかつ,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tonkatsu-nanaido
渋谷区,代官山町,-,渋谷区代官山町 6-6,35.65182,139.70594,レクレルール／L’éclaireur,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-eclaireur
渋谷区,神宮前５丁目,-,渋谷区神宮前 5-13-14,35.66625,139.70693,イェン／HYÈNE,現代風料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hyene
港区,六本木７丁目,六本木,港区六本木 7-10-3 2F,35.66466,139.72921,ブーケ・ド・フランス／Bouquet de France,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/bouquet-de-france
中央区,湊３丁目,-,中央区湊 3-5-1,35.66982,139.77821,焼鳥 本田／Yakitori Honda,焼鳥,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yakitori-honda
渋谷区,広尾５丁目,-,渋谷区広尾 5-10-3,35.64951,139.72104,ハスオ／HASUO,韓国料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hasuo
港区,三田１丁目,-,港区三田 1-3-28,35.65450,139.74401,宮わき／Miyawaki,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/miyawaki
港区,新橋６丁目,虎ノ門広域,港区新橋 6-13-13,35.66195,139.75366,天ぷら かき揚げ 之村／Tempura Kakiage Yukimura,天ぷら,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-kakiage-yukimura
中央区,東日本橋３丁目,-,中央区東日本橋 3-1-3,35.69031,139.78270,鮨 一條／Sushi Ichijo,寿司,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-ichijo
渋谷区,神宮前５丁目,-,渋谷区神宮前 5-10-1 GYRE 4F,35.66739,139.70691,レラン／l'élan,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-elan
中央区,銀座３丁目,-,中央区銀座 3-12-5,35.67083,139.76919,イバイア／IBAIA,フランス料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ibaia
港区,南青山４丁目,-,港区南青山 4-26-12 B1F,35.66220,139.71832,割烹 隆／Kappo Ryu,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kappo-ryu
港区,西麻布２丁目,-,港区西麻布 2-14-5,35.66001,139.72275,おそばの甲賀／Osobano Kouga,蕎麦,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/osobano-kouga
渋谷区,代々木３丁目,-,渋谷区代々木 3-37-1,35.68185,139.69339,キノシタ／Kinoshita,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kinoshita-1197753
渋谷区,神宮前５丁目,-,渋谷区神宮前 5-46-7 B1F,35.66393,139.70894,デンクシフロリ／DEN KUSHI FLORI,現代風料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/den-kushi-flori
港区,麻布十番２丁目,-,港区麻布十番 2-8-7 2F,35.65553,139.73474,立喰 鮨となり／Tachigui Sushi Tonari,寿司,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tachigui-sushi-tonari
渋谷区,西原２丁目,-,渋谷区西原 2-17-3,35.67316,139.67878,茂幸／Shigeyuki,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shigeyuki
中央区,日本橋人形町２丁目,-,中央区日本橋人形町 2-9-7,35.68606,139.78404,天ぷら やぐち／Tempura Yaguchi,天ぷら,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-yaguchi
千代田区,大手町１丁目,大丸有,千代田区大手町 1-2-1 フォーシーズンズホテル東京大手町 39F,35.68773,139.76329,エスト／est,"フランス料理, 現代風料理",1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/est
中央区,日本橋室町１丁目,日八京,中央区日本橋室町 1-9-4 B1F,35.68509,139.77556,ラ ペ／La Paix,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/la-paix-1194221
港区,南青山６丁目,-,港区南青山 6-4-6,35.66152,139.71641,プリズマ／PRISMA,イタリア料理,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/prisma-1194160
港区,南麻布５丁目,-,港区南麻布 5-1-5,35.65579,139.72299,分とく山／Waketokuyama,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/waketokuyama
中央区,新富１丁目,-,中央区新富 1-8-2,35.67291,139.77448,鮨 はしもと／Sushi Hashimoto,寿司,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-hashimoto
新宿区,荒木町,-,新宿区荒木町 10-14,35.68953,139.72258,燗コーヒー 藤々／Kan Coffee Fujifuji,居酒屋,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kan-coffee-fujifuji
渋谷区,神宮前５丁目,-,渋谷区神宮前 5-23-3,35.66448,139.70469,玉笑／Tamawarai,蕎麦,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tamawarai
新宿区,高田馬場２丁目,-,新宿区高田馬場 2-9-12,35.71212,139.70794,ラミティエ／L'AMITIE,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-amitie-1194223
中央区,銀座３丁目,-,中央区銀座 3-5-3 10F,35.67300,139.76653,ベージュ アラン・デュカス／BEIGE Alain Ducasse,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/beige-alain-ducasse
渋谷区,元代々木町,-,渋谷区元代々木町 10-8,35.67017,139.68443,レイ／REI,中国料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/rei
中央区,日本橋人形町２丁目,-,中央区日本橋人形町 2-22-11,35.68626,139.78451,日本橋 蕎ノ字／Nihombashi Sonoji,天ぷら,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nihombashi-sonoji
中央区,銀座８丁目,-,中央区銀座 8-8-3 10F,35.66856,139.76189,ファロ／FARO,イタリア料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/faro-1194154
港区,三田２丁目,-,港区三田 2-17-29 B1F,35.64744,139.74016,晴山／Seizan,日本料理,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/seizan
中央区,銀座５丁目,-,中央区銀座 5-5-13 9F,35.67112,139.76308,てんぷら 近藤／Tempura Kondo,天ぷら,2つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-kondo
中央区,日本橋室町２丁目,日八京,中央区日本橋室町 2-1-1 マンダリン オリエンタル 東京 37F,35.68705,139.77306,センス／Sense,中国料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sense-1194023
港区,西麻布２丁目,-,港区西麻布 2-16-1,35.66192,139.72042,壽修／Jushu,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/jushu
中央区,京橋２丁目,日八京,中央区京橋 2-5-2,35.67646,139.77046,京橋 てんぷら 深町／Kyobashi Tempura Fukamachi,天ぷら,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kyobashi-tempura-fukamachi
中央区,築地６丁目,-,中央区築地 6-6-4,35.66551,139.77366,鮨 桂太／Sushi Keita,寿司,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-keita
