指標名,ミシュラン掲載レストラン,,,,,,,3つ星,特別な料理,
港区,白金台４丁目,-,港区白金台 4-2-7 2F,35.63936,139.72811,シノワ／ShinoiS,中国料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shinois
港区,赤坂３丁目,赤坂,港区赤坂 3-12-2 3F,35.67405,139.73782,茜坂大沼／Akanezaka Onuma,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/akanezaka-onuma
港区,六本木４丁目,六本木,港区六本木 4-2-35 B1F,35.66472,139.73356,リューズ／Ryuzu,"フランス料理, 現代風料理",2つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ryuzu
港区,麻布十番３丁目,-,港区麻布十番 3-3-10,35.65363,139.73563,すし家 祥太／Sushiya Shota,寿司,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushiya-shota
新宿区,神楽坂５丁目,-,新宿区神楽坂 5-37,35.70134,139.73913,神楽坂 石かわ／Kagurazaka Ishikawa,日本料理,3つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kagurazaka-ishikawa
新宿区,神楽坂３丁目,-,新宿区神楽坂 3-1 3F,35.70198,139.74098,多仁本／Tanimoto,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tanimoto
中央区,新富２丁目,-,中央区新富 2-5-5,35.67159,139.77403,久丹／Kutan,日本料理,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kutan
千代田区,有楽町１丁目,大丸有,千代田区有楽町 1-1-2 東京ミッドタウン日比谷 7F,35.67374,139.75918,龍吟／RyuGin,日本料理,3つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ryugin-1194232
港区,西麻布２丁目,-,港区西麻布 2-26-4,35.66022,139.71943,レフェルヴェソンス／L'Effervescence,"フランス料理, 現代風料理",3つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-effervescence
港区,西麻布１丁目,-,港区西麻布 1-11-13,35.66074,139.72417,洋食ビストロ TŌYAMA／YŌSHOKU BISTRO TŌYAMA,洋食,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yoshoku-bistro-toyama
千代田区,丸の内１丁目,大丸有,千代田区丸の内 1-11-1 フォーシーズンズホテル丸の内 東京 7F,35.67814,139.76698,メゾン マルノウチ／MAISON MARUNOUCHI,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/maison-marunouchi
港区,南青山２丁目,-,港区南青山 2-14-14 B1F,35.67022,139.72048,ロー／L'EAU,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-eau
港区,新橋６丁目,虎ノ門広域,港区新橋 6-13-3,35.66191,139.75406,冨所／Tomidokoro,寿司,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tomidokoro
港区,南麻布４丁目,-,港区南麻布 4-7-5,35.64958,139.72834,茶禅華／Sazenka,中国料理,3つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sazenka
港区,北青山２丁目,-,港区北青山 2-12-35,35.67026,139.71452,リストランテ ホンダ／Ristorante HONDA,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ristorante-honda
千代田区,大手町１丁目,大丸有,千代田区大手町 1-2-1 Otemachi One 1F,35.68766,139.76325,スィークル／CYCLE by Mauro Colagreco,"フランス料理, 現代風料理",1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/cycle-by-mauro-colagreco
千代田区,丸の内１丁目,大丸有,千代田区丸の内 1-1-3 日本生命丸の内ガーデンタワー M2F,35.68450,139.76257,プレーガ 東京／Plaiga TOKYO,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/plaiga-tokyo
新宿区,神楽坂３丁目,-,新宿区神楽坂 3-6-53 2F,35.70050,139.73969,レテール／L'ÉTERRE,"フランス料理, 現代風料理",1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-eterre
中央区,銀座６丁目,-,中央区銀座 6-8-7 交詢ビル 4F,35.67008,139.76292,スリオラ／ZURRIOLA,"スペイン料理, 現代風料理",2つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/zurriola
港区,白金台３丁目,-,港区白金台 3-18-5 2F,35.63515,139.72115,地蔵鮓／Jizozushi,寿司,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/jizozushi
中央区,銀座８丁目,-,中央区銀座 8-10-3 B1F,35.66798,139.76264,鮨 かねさか／Sushi Kanesaka,寿司,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-kanesaka
港区,麻布十番２丁目,-,港区麻布十番 2-8-12 2F,35.65546,139.73421,蕎庵 三たて／Soan Mitate,蕎麦,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/soan-mitate
中央区,日本橋兜町,-,中央区日本橋兜町 7-1,35.68133,139.77826,ホッパーズ／HOPPERS,スリランカ料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hoppers-1206470
港区,元麻布１丁目,-,港区元麻布 1-7-12 7F,35.65259,139.73350,ピアット ミツ／Piatto Mitsu,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/piatto-mitsu
港区,西麻布３丁目,-,港区西麻布 3-18-10,35.65911,139.72606,ジーキューブ／Ji-Cube,中国料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ji-cube
渋谷区,上原１丁目,-,渋谷区上原 1-34-10 2F,35.66940,139.68202,潮待ち／Shiomachi,居酒屋,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shiomachi
渋谷区,広尾１丁目,-,渋谷区広尾 1-12-15,35.64802,139.71532,創和堂／SŌWADŌ,居酒屋,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sowado
新宿区,荒木町,-,新宿区荒木町 2-14,35.68866,139.72240,うぶか／Ubuka,蟹料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ubuka
渋谷区,渋谷２丁目,-,渋谷区渋谷 2-2-2 B1F,35.66076,139.70855,ラチュレ／LATURE,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/lature
港区,西麻布４丁目,-,港区西麻布 4-2-13 3F,35.65864,139.72318,霞町 やまがみ／Kasumicho Yamagami,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kasumicho-yamagami
渋谷区,渋谷１丁目,-,渋谷区渋谷 1-5-9,35.66109,139.70580,鮨 一喜／Sushi Ikki,寿司,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-ikki
中央区,日本橋本町１丁目,日八京,中央区日本橋本町 1-4-3 B1F,35.68623,139.77570,ファルスィ ラルゴ／farsi largo!,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/farsi-largo
中央区,銀座６丁目,-,中央区銀座 6-12-14 8F,35.66914,139.76455,銀座 志翠／Ginza Kousui,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-kousui
渋谷区,渋谷２丁目,-,渋谷区渋谷 2-8-12,35.66074,139.70773,モノビス／Mono-bis,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/mono-bis
渋谷区,富ヶ谷１丁目,-,渋谷区富ヶ谷 1-33-6,35.66656,139.68831,京料理 阿うん／Kyoryori Aun,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kyoryori-aun
港区,六本木６丁目,六本木,港区六本木 6-2-6 4F,35.66201,139.73072,六本木 璃庵／ROPPONGI RIAN,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/roppongi-rian
港区,芝２丁目,-,港区芝 2-22-23,35.65141,139.75052,江戸前 芝浜／Edomae Shibahama,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/edomae-shibahama
中央区,銀座６丁目,-,中央区銀座 6-6-12 4F,35.67050,139.76215,グッチ オステリア ダ マッシモ ボットゥーラ トウキョウ／Gucci Osteria da Massimo Bottura Tokyo,"イタリア料理, 現代風料理",1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/gucci-osteria-da-massimo-bottura-1201836
中央区,銀座４丁目,-,中央区銀座 4-13-19,35.66964,139.76889,ビストロ ヴィヴィエンヌ／Bistrot Vivienne,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/bistrot-vivienne
中央区,日本橋馬喰町２丁目,-,中央区日本橋馬喰町 2-2-1 DDD HOTEL 1F,35.69529,139.78354,ノル／nôl,現代風料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nol
渋谷区,広尾５丁目,-,渋谷区広尾 5-17-8 B1F,35.64945,139.72041,ボッテガ／BOTTEGA,イタリア料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/bottega-1194168
中央区,銀座１丁目,-,中央区銀座 1-5-6 2F,35.67480,139.76730,ドミニク・ブシェ トーキョー／Dominique Bouchet Tokyo,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/dominique-bouchet-1194086
港区,西麻布２丁目,-,港区西麻布 2-15-1,35.66164,139.72098,ル ブトン／Le Bouton,フランス料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/le-bouton
港区,白金台４丁目,-,港区白金台 4-2-7,35.63936,139.72811,サーパス／CIRPAS,"フランス料理, 現代風料理",-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/cirpas
港区,虎ノ門５丁目,虎ノ門,港区虎ノ門 5-2-8 B1F,35.66277,139.74458,おかもと／Okamoto,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/okamoto
中央区,銀座１丁目,-,中央区銀座 1-15-8,35.67341,139.77007,アロセリア ラ パンサ／ARROCERÍA La Panza,スペイン料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/arroceria-la-panza
中央区,日本橋室町２丁目,日八京,中央区日本橋室町 2-1-1 マンダリン オリエンタル 東京 38F,35.68705,139.77306,ピッツァバー on 38th／The Pizza Bar on 38th,ピッツァ,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/the-pizza-bar-on-38th
港区,六本木５丁目,六本木,港区六本木 5-18-22,35.66108,139.73701,メティス 六本木／Mētis Roppongi,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/metis-roppongi
千代田区,神田神保町２丁目,-,千代田区神田神保町 2-2-32,35.69633,139.75704,アルテレーゴ／ALTER EGO,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/alter-ego
港区,西麻布２丁目,-,港区西麻布 2-24-14 B1F,35.66029,139.72245,上／JO,牛肉料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/jo
中央区,銀座５丁目,-,中央区銀座 5-9-16 2F,35.67019,139.76500,ラフィナージュ／L'AFFINAGE,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-affinage
港区,赤坂６丁目,赤坂,港区赤坂 6-13-8,35.66994,139.73406,赤坂 菊乃井／Akasaka Kikunoi,日本料理,2つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/akasaka-kikunoi
港区,東麻布３丁目,-,港区東麻布 3-3-9 B1F,35.65713,139.73884,御料理 辻／Oryori Tsuji,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/oryori-tsuji
港区,東麻布１丁目,-,港区東麻布 1-5-4,35.65812,139.74334,野田岩 麻布飯倉本店／Nodaiwa Azabu Iikura Honten,うなぎ,1つ星,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nodaiwa-azabu-Iikura-honten-1194124
渋谷区,鶯谷町７丁目,-,渋谷区鶯谷町 7-12 B1F,35.65408,139.70227,かつお食堂／Katsuo Shokudo,日本料理,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/katsuo-shokudo
渋谷区,代官山町,-,渋谷区代官山町 12-19 B1F,35.650822,139.7035226,アロセリア サル イ アモール／Arrocería Sal y Amor,スペイン料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/arroceria-sal-y-amor
渋谷区,恵比寿西２丁目,-,渋谷区恵比寿西 2-17-5 2F,35.6489302,139.7059561,レクテ／recte,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/recte
新宿区,神楽坂３丁目,-,新宿区神楽坂 3-6,35.7009902,139.7404078,蕎楽亭／Kyorakutei,蕎麦,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kyorakutei
港区,六本木７丁目,六本木,港区六本木 7-9-9,35.6644502,139.7299132,ル・スプートニク／le sputnik,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/le-sputnik
港区,南青山１丁目,-,港区南青山 1-3-21 2F,35.6710123,139.7251803,てのしま／Tenoshima,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tenoshima
渋谷区,代官山町,-,渋谷区代官山町 14-10 B1F,35.649978,139.7042253,ファロ／falò,イタリア料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/falo
渋谷区,上原１丁目,-,渋谷区上原 1-33-11,35.6691436,139.6808398,日々の中華食堂／Hibino Chukashokudo,中国料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hibino-chukashokudo
中央区,銀座８丁目,-,中央区銀座 8-16-6,35.6658187,139.76367,銀座 あさみ／Ginza Asami,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-asami
中央区,銀座５丁目,-,中央区銀座 5-5-19 6F,35.6717228,139.7637504,六雁／Mutsukari,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/mutsukari
渋谷区,神宮前２丁目,-,渋谷区神宮前 2-19-12,35.673458,139.7101767,神宮前 樋口／Jingumae Higuchi,日本料理,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/jingumae-higuchi
中央区,日本橋本町１丁目,日八京,中央区日本橋本町 1-4-15 2F,35.6861112,139.7758754,和氣 旬／Waki Shun,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/waki-shun
中央区,八重洲２丁目,日八京,中央区八重洲 2-2-1 ブルガリホテル東京 40F,35.6796123,139.7692613,イル・リストランテ ニコ・ロミート／Il Ristorante - Niko Romito,イタリア料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/il-ristorante-niko-romito-1208307
渋谷区,恵比寿３丁目,-,渋谷区恵比寿 3-1-1 2F,35.6454431,139.7166785,ラ メゾン フィニステール／La maison finistère,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/la-maison-finistere
千代田区,神田小川町３丁目,-,千代田区神田小川町 3-2 2F,35.6948171,139.7626423,三燈舎／SANTOSHAM,インド料理,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/santosham
品川区,北品川６丁目,-,品川区北品川 6-7-29 ガーデンシティ品川御殿山 1F,35.6239862,139.7333701,カンテサンス／Quintessence,"フランス料理, 現代風料理",3つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/quintessence-1193907
中央区,銀座８丁目,-,中央区銀座 8-7-2 5F,35.6688015,139.7614743,オステリア ダ カッパ／Osteria da K. [káppa],イタリア料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/osteria-da-k-kappa
港区,西麻布４丁目,-,港区西麻布 4-2-15 2F,35.6586105,139.7235315,天ぷらとワイン しの／TEMPURA & WINE SHINO,天ぷら,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-wine-shino
中央区,銀座３丁目,-,中央区銀座 3-12-15,35.6706115,139.7688321,ラ・ボッテガイア／LA BOTTEGAIA,イタリア料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/la-bottegaia
渋谷区,神宮前３丁目,-,渋谷区神宮前 3-42-12,35.6719271,139.7139156,アンディ／Ăn Ði,ベトナム料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/an-%C3%B0i
