指標名,ホテル,,,,,,,,,
出典,Rakuten API,,,,,,,,,
年次,2024/12/10取得,,,,,,,,,
URL,https://app.rakuten.co.jp/services/api/Travel/SimpleHotelSearch/20170426,,,,,,,,,
備考,(2022年度：1721件、2023年度：1099.0件、2024年度：1124件),,,,,,,,,
,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,星数,レビュー数,室数,ホテルURL
江東区,潮見２丁目,-,東京都江東区潮見2-8-11,35.65867209,139.8176659,東京イーストサイド　ホテル櫂会,4.67,483,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178266
中央区,銀座６丁目,-,東京都中央区銀座六丁目16番14号,35.6678892,139.7656872,ザ　ロイヤルパークホテル　銀座６丁目（２０２４年５月３０日開業）,3.71,7,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=188447
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2-1-1,35.68243416,139.7865864,ロイヤルパークホテル,4.64,3516,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1566
江東区,門前仲町２丁目,-,東京都江東区門前仲町2-8-9,35.6729202,139.796626,京成リッチモンドホテル東京門前仲町,4.52,444,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171942
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-1-1,35.6845024,139.7612295,パレスホテル東京,4.52,37,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=184685
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町1-4-7,35.69490848,139.7678821,ベルケンホテル・神田,4.37,591,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167516
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-9-1,35.68067269,139.7657632,東京ステーションホテル,4.78,725,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=137869
中央区,日本橋室町３丁目,日八京,東京都中央区日本橋室町3丁目4番地4号,35.68848118,139.7732796,三井ガーデンホテル日本橋プレミア,4.57,569,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166107
千代田区,神田東松下町１１丁目,-,東京都千代田区神田東松下町11-2,35.69355481,139.774437,コンフォートホテル東京神田,3.87,4072,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=69217
中央区,新川１丁目,-,東京都中央区新川1-2-5,35.67896779,139.7827952,パールホテル茅場町,3.88,1667,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=4910
中央区,銀座６丁目,-,東京都中央区銀座6-16-8,35.6676788,139.7657912,天然温泉　七宝の湯　ドーミーインＰＲＥＭＩＵＭ銀座,4.42,86,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182801
中央区,日本橋小舟町１５丁目,-,東京都中央区日本橋小舟町15-18,35.68540587,139.779623,西鉄イン日本橋,4.07,3426,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=17712
千代田区,神田佐久間町２丁目,-,東京都千代田区神田佐久間町2-13-20,35.69836266,139.7766227,アパホテル〈秋葉原駅前〉,3.93,696,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=138036
中央区,日本橋本石町３丁目,日八京,東京都中央区日本橋本石町3-1-6,35.6864208,139.7705193,Ｊホテル東京ジオ,4.33,245,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172447
中央区,日本橋中洲４丁目,-,東京都中央区日本橋中洲4-9,35.68328651,139.7902129,エスペリアイン日本橋箱崎,4.37,865,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168463
中央区,築地,-,東京都中央区築地 ３－１－５,35.66942142,139.774749,はとバス直営　銀座キャピタルホテル茜,3.96,6070,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=367
中央区,銀座６丁目,-,東京都中央区銀座6-4-14,35.67124863,139.7613168,銀座ベルビューホテル,4.14,1430,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=15041
中央区,銀座７丁目,-,東京都中央区銀座7-10-1 フロント3階,35.66898228,139.7636222,ホテルグレイスリー銀座,3.86,2787,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=53403
中央区,新富１丁目,-,東京都中央区新富1-17-8,35.67163086,139.7752033,アパホテル〈八丁堀　新富町〉,3.74,200,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166354
中央区,日本橋堀留町２丁目,-,東京都中央区日本橋堀留町2-9-4,35.68827226,139.7816116,アパホテル〈人形町駅北〉（２０２４年１１月客室設備リニューアル）,4.03,1490,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=129632
中央区,日本橋小舟町９丁目,-,東京都中央区日本橋小舟町9-14,35.68550584,139.7792397,住庄ほてる,4.13,1668,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=562
中央区,日本橋茅場町３丁目,-,東京都中央区日本橋茅場町3-8-5,35.6774581,139.7782045,アパホテル〈茅場町八丁堀駅前〉（全室禁煙）,4.11,87,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=188130
江東区,東陽４丁目,-,東京都江東区東陽4-4-3,35.670017,139.81765,相鉄フレッサイン　東京東陽町駅前,3.78,950,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=139945
中央区,銀座５丁目,-,東京都中央区銀座5-13-15,35.66880224,139.7667379,三井ガーデンホテル銀座五丁目,4,542,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172931
中央区,明石町,-,東京都中央区明石町８番　聖路加タワー内,35.66649129,139.7783266,銀座クレストン（旧東京新阪急ホテル）,4.3,1084,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=4913
中央区,日本橋馬喰町２丁目,-,東京都中央区日本橋馬喰町2-2-1,35.6952729,139.7834572,ＤＤＤ　ＨＯＴＥＬ,4.24,135,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172409
中央区,銀座５丁目,-,東京都中央区銀座5丁目13番12号,35.66867905,139.7663992,ホテルグランバッハ東京銀座,4.47,73,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182693
中央区,築地７丁目,-,東京都中央区築地7丁目10番11号,35.66607736,139.7749936,アパホテル〈築地駅南〉（２０２４年８月客室設備リニューアル）,4.06,687,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=129539
千代田区,神田佐久間町３丁目,-,東京都千代田区神田佐久間町3-2,35.6974214,139.7769896,アパホテル〈秋葉原駅東〉（全館禁煙）,4.15,104,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183213
中央区,銀座７丁目,-,東京都中央区銀座7-11-12,35.6681089,139.7632092,相鉄フレッサイン　銀座七丁目,3.9,662,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153207
中央区,築地３丁目,-,東京都中央区築地3-3-1,35.66921648,139.7743219,はとバス直営　銀座キャピタルホテル萌木,4.64,241,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167815
中央区,日本橋大伝馬町１４丁目,-,東京都中央区日本橋大伝馬町14-20,35.69113303,139.780531,アパホテル〈小伝馬町駅前〉（２０２４年１０月客室設備リニューアル）,4.1,843,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=135970
江東区,東陽１丁目,-,東京都江東区東陽1丁目16-16,35.66714764,139.8106267,アパホテル〈東京木場〉,3.6,3121,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=38738
