,,,,,,,,,,,
,指標名,観光地,,,,,,,,,
,出典,google places API,,,,,,,,,
,年次,2025/02/05取得,,,,,,,,,
,URL,google places API,,,,,,,,,
,備考,(2022年度：1922件、2023年度：2497.0件、2024年度：2182件),,,,,,,,,
,,,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,施設名,ジャンル,星,口コミ数,place_id
,千代田区,千代田,-,千代田区千代田１−１,35.6883712,139.7544177,江戸城跡,"tourist_attraction, park, point_of_interest, establishment",4.4,1259,ChIJiZggVguMGGARaW4UFY3Mo8Q
,千代田区,北の丸公園,-,千代田区北の丸公園２−４,35.6941513,139.7498572,弥生慰霊堂,"place_of_worship, tourist_attraction, point_of_interest, establishment",4.2,26,ChIJq9r0nmuMGGARWwwQPkWWkws
,千代田区,九段北３丁目,-,千代田区九段北３丁目１−１,35.694136,139.743849,靖國神社,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.4,20456,ChIJ1UOuDWiMGGARkM6Iv-ZU57U
,千代田区,麹町１丁目,-,千代田区麹町１丁目２,35.6861597,139.7449906,千鳥ヶ淵公園,"park, tourist_attraction, point_of_interest, establishment",4.4,2567,ChIJ2Upy0nGMGGARNdDKDGtkffY
,千代田区,一ツ橋１丁目,-,千代田区一ツ橋１丁目２,35.6918668,139.7559924,清水濠まちかど庭園,"park, tourist_attraction, point_of_interest, establishment",3.6,8,ChIJjVswbBKMGGARBGXGbz_AbDQ
,千代田区,千代田,-,千代田区千代田１−１,35.6861219,139.7526498,下道灌濠,"tourist_attraction, point_of_interest, establishment",4.4,38,ChIJBdU8ugyMGGARJ9UXAFmePUI
,千代田区,大手町１丁目,大丸有,千代田区大手町１丁目４,35.6894999,139.7602323,大手濠緑地,"tourist_attraction, point_of_interest, establishment",4.1,24,ChIJX8XwHw-MGGARDTEeZ7G1byo
,千代田区,千代田,-,千代田区千代田１,35.6875499,139.7526738,乾通り,"tourist_attraction, point_of_interest, establishment",4.3,190,ChIJi6_UbSuNGGARgoHn_FUv91k
,千代田区,千代田,-,千代田区千代田１−８ 皇居東御苑 内,35.6864261,139.7592442,皇居三の丸尚蔵館,"tourist_attraction, museum, point_of_interest, establishment",4.1,520,ChIJPfFaQhOMGGARTfig6X5OJvM
,千代田区,九段南２丁目,-,千代田区九段南２丁目２,35.6947757,139.7487813,高燈篭（常燈明台）,"tourist_attraction, point_of_interest, establishment",4.1,124,ChIJzbiOtmuMGGARAnAP53OIJZ0
,千代田区,皇居外苑,-,千代田区皇居外苑３,35.6836777,139.7608747,球体噴水と滝,"tourist_attraction, point_of_interest, establishment",5,1,ChIJtV97AACLGGARAPIDL0V_2x4
,千代田区,千代田,-,千代田区千代田１−３,35.6855843,139.7573862,大番所,"tourist_attraction, point_of_interest, establishment",4.1,80,ChIJ8zjh2AuMGGARH4JAMFrF8FQ
,千代田区,千代田,-,千代田区千代田１−１,35.6840122,139.758499,桔梗門（内桜田門）,"tourist_attraction, point_of_interest, establishment",4.3,749,ChIJmdef7AmMGGARhKjmuJGUSNs
,千代田区,大手町１丁目,大丸有,千代田区大手町１丁目３ 大手町川端緑道 親水広場,35.6906793,139.7612033,気象庁旧生物季節観測の木々,"tourist_attraction, point_of_interest, establishment",3.7,7,ChIJr6pkHMaNGGARMvwb5D2D2XQ
,千代田区,皇居外苑,-,千代田区皇居外苑３,35.6837006,139.7609062,球体噴水(永遠),"tourist_attraction, point_of_interest, establishment",4.6,5,ChIJfR5zFQCLGGAR5RbxtoW_Qj8
,千代田区,千代田,-,千代田区千代田１−１,35.6861142,139.7602531,大手門,"tourist_attraction, point_of_interest, establishment",4.4,445,ChIJ7-cJ_wiMGGAR_wayVide6uo
,千代田区,千代田,-,千代田区千代田１,35.686221,139.7565441,江戸城天守復元模型,"tourist_attraction, point_of_interest, establishment",4,44,ChIJ93STsrqNGGAReyjjarHT2cg
,千代田区,飯田橋３丁目,-,千代田区飯田橋３丁目１０,35.7020878,139.7506124,枝垂桜,"tourist_attraction, point_of_interest, establishment",4.7,3,ChIJGbHrEpSNGGARmtmfqv3e0z0
,千代田区,富士見１丁目,-,千代田区富士見１丁目１−１３,35.6980827,139.7482214,二合半坂,"tourist_attraction, point_of_interest, establishment",3.7,16,ChIJx7kQ7EGMGGARDaVgIxU5TkE
,千代田区,飯田橋１丁目,-,千代田区飯田橋１丁目７,35.6989525,139.7491692,徽章業発祥の地,"tourist_attraction, point_of_interest, establishment",3.8,4,ChIJy8k0ukGMGGARyoAQR58Ym9o
,千代田区,一番町,-,千代田区一番町,35.6863985,139.7416523,永井坂,"tourist_attraction, point_of_interest, establishment",3.8,9,ChIJr38YXWWMGGAR-m5mqTPXdMI
,千代田区,九段北１丁目,-,千代田区九段北１丁目１４−２１,35.696066,139.749981,築土神社,"tourist_attraction, place_of_worship, point_of_interest, establishment",4,463,ChIJ4UhE-GqMGGARlLgTJ-LIbtU
,千代田区,一番町,-,千代田区一番町２５,35.6858735,139.7419312,半蔵門ミュージアム,"museum, tourist_attraction, point_of_interest, establishment",4.5,330,ChIJAQDQVmWMGGAR4dNK6sEJZ80
,千代田区,九段南１丁目,-,千代田区九段南１丁目６−１,35.6950861,139.750718,昭和館,"tourist_attraction, museum, point_of_interest, establishment",4,1198,ChIJP5nfE2uMGGARCD9T7XHuNb4
,千代田区,-,-,千代田区１５,35.6954199,139.7423464,富士見坂,"tourist_attraction, point_of_interest, establishment",3.7,10,ChIJzxOEskKMGGAR0ht59j0AZA8
,千代田区,富士見１丁目,-,千代田区富士見１丁目１１−７,35.6961326,139.7450859,大東文化大学発祥地跡,"tourist_attraction, point_of_interest, establishment",2.9,17,ChIJNdVJeUKMGGARLNpCPSZYFqY
,千代田区,永田町１丁目,赤坂,千代田区永田町１丁目１,35.6770719,139.7477299,国会前庭 北地区,"tourist_attraction, park, point_of_interest, establishment",4,77,ChIJRwdJJIqLGGAR6wrIM__UeZg
,千代田区,紀尾井町,赤坂,千代田区紀尾井町１,35.6787667,139.7380662,赤坂門跡,"tourist_attraction, point_of_interest, establishment",3.8,111,ChIJoRtqW3mMGGAR_IfueEJk_5U
,千代田区,永田町２丁目,赤坂,千代田区永田町２丁目１０−５,35.6746656,139.7399379,日枝神社,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.4,11447,ChIJF0MR5MSmH2ARj3x0ov0aQ-8
,港区,元赤坂１丁目,赤坂,港区元赤坂１丁目２,35.6788247,139.7362515,弁慶橋,"tourist_attraction, point_of_interest, establishment",4,86,ChIJR0xmHHyMGGARAeMJayOwBhk
,千代田区,平河町１丁目,-,千代田区平河町１丁目７−５,35.6823973,139.7409509,縁結びの梅,"tourist_attraction, point_of_interest, establishment",0,0,ChIJCQnAznuNGGARkotxDMrTnm4
,千代田区,永田町１丁目,赤坂,千代田区永田町１丁目８−１,35.6793064,139.7455436,憲政記念館,"museum, tourist_attraction, point_of_interest, establishment",3.8,668,ChIJCSOV_omLGGARC30qXmCHB7A
,千代田区,永田町１丁目,赤坂,千代田区永田町１丁目７−１,35.675888,139.744858,国会議事堂,"tourist_attraction, point_of_interest, establishment",4,1061,ChIJibDhsomLGGARkIZSXvrUx0g
,千代田区,永田町２丁目,赤坂,千代田区永田町２丁目１０−７,35.6751643,139.739661,山王稲荷神社,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.4,99,ChIJVVXigYeLGGARjnqtQYmiyTM
,千代田区,永田町２丁目,赤坂,千代田区永田町２丁目２,35.6750322,139.743119,山王坂,"tourist_attraction, point_of_interest, establishment",3.8,17,ChIJvdjwZYiLGGAR5ilFlkRrlF8
,千代田区,紀尾井町,赤坂,千代田区紀尾井町１,35.6808301,139.7383134,諏訪坂,"tourist_attraction, point_of_interest, establishment",3.3,4,ChIJjenolXuMGGARgOBTvZTPBp4
,千代田区,紀尾井町,赤坂,千代田区紀尾井町２−１,35.6814159,139.7361246,清水谷公園,"park, tourist_attraction, point_of_interest, establishment",3.8,667,ChIJ0zbC6nyMGGAROfFoUq13fnw
,千代田区,永田町２丁目,赤坂,千代田区永田町２丁目１８,35.6783975,139.7381131,東京女学館発祥の地,"tourist_attraction, point_of_interest, establishment",3.6,11,ChIJvwsuq72NGGAR70DiLrn4Obw
,港区,赤坂５丁目,赤坂,港区赤坂５丁目２−４７,35.6728914,139.7338235,円通寺坂公園,"tourist_attraction, park, point_of_interest, establishment",3.9,14,ChIJdSILd4CLGGARadTS5i-puZ8
,千代田区,永田町１丁目,赤坂,千代田区永田町１丁目１−２,35.6771964,139.7478462,日本水準原点,"tourist_attraction, point_of_interest, establishment",4.2,209,ChIJN_ucJIqLGGARpSbER4BCoPQ
,港区,赤坂６丁目,赤坂,港区赤坂６丁目５−４,35.6709043,139.7371892,氷川公園,"park, tourist_attraction, point_of_interest, establishment",3.8,302,ChIJDaNptYaLGGARWE32EgNjHH4
,港区,赤坂７丁目,赤坂,港区赤坂７丁目６−１６,35.6711984,139.7335169,三分坂,"tourist_attraction, point_of_interest, establishment",3.8,41,ChIJR2WgSICLGGARDaal6un4-dg
,千代田区,紀尾井町,赤坂,千代田区紀尾井町１−２ 他,35.6799926,139.7379363,東京ガーデンテラス紀尾井町,"tourist_attraction, point_of_interest, establishment",4.1,6429,ChIJ4Z9j7XuMGGAR9u6LL1dJtJ0
,港区,赤坂６丁目,赤坂,港区赤坂６丁目１０−４１,35.6691445,139.7347068,勝海舟邸跡,"tourist_attraction, point_of_interest, establishment",3.7,96,ChIJ62EneYGLGGARy3pBngNNGqA
,千代田区,紀尾井町,赤坂,千代田区紀尾井町３−３２,35.6811949,139.737333,紀尾井アートギャラリー・江戸の伊勢型紙美術館,"tourist_attraction, museum, point_of_interest, establishment",3.5,11,ChIJ63TAg3uMGGARUhoxazPhn7Q
,千代田区,皇居外苑,-,千代田区皇居外苑１−１,35.680117,139.7583125,皇居外苑,"tourist_attraction, park, point_of_interest, establishment",4.4,8463,ChIJAQCEbPGLGGARFa0L-v-rNtg
,千代田区,永田町２丁目,赤坂,千代田区永田町２丁目１８,35.678173,139.7402878,華族女学校の遺蹟碑,"tourist_attraction, point_of_interest, establishment",3.6,7,ChIJuVLHr3mMGGAR9ACBD0mo7E8
,港区,赤坂４丁目,赤坂,港区赤坂４丁目１０−３６,35.6750745,139.733527,志の門（旧三河岡崎藩上屋敷表門）,"tourist_attraction, point_of_interest, establishment",3.7,51,ChIJbcyPtH-MGGARTF31fAQA9tA
,千代田区,有楽町１丁目,大丸有,千代田区有楽町１丁目１２ ぽん太の広場,35.6761184,139.7612626,ぽん太の広場,"tourist_attraction, point_of_interest, establishment",3.8,13,ChIJQfTOsD2LGGARysb_0G6009I
,千代田区,四番町,-,千代田区四番町８−１４,35.6903348,139.7397486,東郷坂,"tourist_attraction, point_of_interest, establishment",3.1,10,ChIJa7t1YGaMGGARM9Pws0tXXt0
,千代田区,三番町,-,千代田区三番町,35.68846,139.7430618,五味坂,"tourist_attraction, point_of_interest, establishment",3.6,5,ChIJ7YjDdm-MGGARQHd58om7axs
,千代田区,五番町,-,千代田区五番町,35.6891831,139.7345477,三年坂（五番町）,"tourist_attraction, point_of_interest, establishment",4,4,ChIJ5QigAGGMGGARZrClCx5gbDU
,千代田区,一番町,-,千代田区一番町２０−１０,35.6874083,139.7409245,南法眼坂,"tourist_attraction, point_of_interest, establishment",3.7,10,ChIJme_6xmWMGGARApVBn9JN0ow
,千代田区,九段南４丁目,-,千代田区九段南４丁目８−１,35.6901503,139.7369429,帯坂,"tourist_attraction, point_of_interest, establishment",3.5,12,ChIJ0aK9LGGMGGARnp_YkwKPZgI
,千代田区,三番町,-,千代田区三番町,35.6913674,139.7464123,鍋割坂,"tourist_attraction, point_of_interest, establishment",3.5,12,ChIJ3XfHsG6MGGARjlkcczb5W4Q
,千代田区,一番町,-,千代田区一番町１８−１,35.6881335,139.7421211,滝廉太郎居住地跡の碑【東京都指定旧跡】,"tourist_attraction, point_of_interest, establishment",3.8,21,ChIJ4Ry1gGWMGGARVj3doAlwlYI
,千代田区,五番町,-,千代田区五番町,35.6897725,139.7353642,新坂（五番町）,"tourist_attraction, point_of_interest, establishment",3.5,4,ChIJdyx84mCMGGAR41yE9mUHnOM
,千代田区,一番町,-,千代田区一番町２０−１ ホーマットカメリア,35.6890411,139.7413674,串田孫一旧居跡(千代田区まちの記憶),"tourist_attraction, point_of_interest, establishment",2.6,8,ChIJhw-N7mWMGGARMls0Ub9gTwU
,千代田区,六番町,-,千代田区六番町,35.686587,139.734168,番町文人通り,"tourist_attraction, point_of_interest, establishment",4,4,ChIJa3-WLmKMGGARDyAWtjPykEg
,千代田区,九段南２丁目,-,千代田区九段南２丁目１−３２号,35.6927051,139.7463381,千秋文庫,"museum, tourist_attraction, point_of_interest, establishment",3.5,29,ChIJk80baWmMGGARO_Z_Ol-4MMg
,千代田区,九段北３丁目,-,千代田区九段北３丁目１,35.6944775,139.744356,さざれ石,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.4,7,ChIJJVAPOB-NGGARtrlmTYpnjIA
,千代田区,九段北３丁目,-,千代田区九段北３丁目１−２,35.6951286,139.7436585,蒸気機関車 C56形31号機,"tourist_attraction, point_of_interest, establishment",4.3,10,ChIJrZTVY6uNGGAR27DTFRwwEIA
,千代田区,九段北２丁目,-,千代田区九段北２丁目１,35.694795,139.7463596,大村益次郎像,"tourist_attraction, point_of_interest, establishment",4,258,ChIJ8Sc1l2mMGGARIA_VxjgBFQE
,新宿区,神楽坂３丁目,-,新宿区神楽坂３丁目,35.7019056,139.7409677,かくれんぼ横丁,"tourist_attraction, point_of_interest, establishment",4,41,ChIJFfFAcNSNGGARJrymMof-YoY
,千代田区,飯田橋２丁目,-,千代田区飯田橋２丁目８,35.6994453,139.7489909,歴史のプロムナード,"tourist_attraction, point_of_interest, establishment",3.1,7,ChIJTd8VpEGMGGARInWwbg0RKbw
