,指標名,食べログアワード受賞レストラン,,,,,,,,,,,,,
,出典,The Tabelog Award 2025,,,,,,,,,,,,,
,年次,2025/01/31取得,,,,,,,,,,,,,
,URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,,
,備考,(2022年度：147件、2023年度：137.0件、2024年度：185件),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,アワード,受賞・選出歴,星数,口コミ数,夜予算,昼予算,URL
,港区,南麻布４丁目,-,東京都港区南麻布4-5-66,35.6511293,139.7237414,薫 HIROO,イノベーティブ、フレンチ、イタリアン,BRONZE,"2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze",4.22,179,"￥50,000～￥59,999","￥50,000～￥59,999",https://tabelog.com/tokyo/A1307/A130703/13238442/
,新宿区,神楽坂５丁目,-,東京都新宿区神楽坂5-37,35.7013408,139.7391271,神楽坂 石かわ,日本料理,SILVER,"2025/silver, 2024/silver, 2023/silver, 2022/silver, 2021/silver, 2020/silver, 2019/silver, 2018/-, 2023/hyakumeiten, 2021/hyakumeiten",4.40,614,"￥50,000～￥59,999","￥50,000～￥59,999",https://tabelog.com/tokyo/A1309/A130905/13004079/
,新宿区,東五軒町５丁目,-,東京都新宿区東五軒町5-5,35.7063525,139.7397557,かさ原,焼き鳥,GOLD,"2025/gold, 2024/gold, 2024/hyakumeiten, 2023/hyakumeiten, 2022/hyakumeiten",4.50,378,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1309/A130905/13266251/
,港区,西麻布２丁目,-,東京都港区西麻布2-16-4,35.6617,139.7207781,割烹 室井,日本料理,BRONZE,2025/bronze,4.06,82,"￥50,000～￥59,999",-,https://tabelog.com/tokyo/A1307/A130701/13286652/
,中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-5-5,35.6853323,139.7817067,川田,日本料理,BRONZE,"2025/bronze, 2022/bronze, 2021/bronze, 2023/hyakumeiten, 2021/hyakumeiten",4.01,199,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1302/A130204/13232330/
,中央区,,-,東京都中央区,-,-,かわむら,ステーキ,BRONZE,"2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2018/-, 2024/hyakumeiten, 2022/hyakumeiten, 2021/hyakumeiten",4.30,194,"￥100,000～",-,https://tabelog.com/tokyo/A1301/A130101/13016506/
,港区,六本木４丁目,六本木,東京都港区六本木4-12-5,35.6644785,139.7316233,感情,日本料理、鳥料理、そば,BRONZE,"2025/bronze, 2023/hyakumeiten",4.06,161,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1307/A130701/13267945/
,品川区,北品川６丁目,-,東京都品川区北品川6-7-29,35.6237579,139.7338284,カンテサンス,フレンチ,SILVER,"2025/silver, 2024/gold, 2023/gold, 2022/gold, 2021/gold, 2020/gold, 2019/gold, 2018/-, 2023/hyakumeiten, 2021/hyakumeiten",4.53,1605,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1314/A131405/13159567/
,中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1,35.686372,139.7731296,広東料理 センス,中華料理、飲茶・点心,BRONZE,"2025/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2018/-, 2017/-, 2024/hyakumeiten, 2023/hyakumeiten, 2021/hyakumeiten",3.96,1003,"￥15,000～￥19,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1302/A130202/13020361/
,千代田区,紀尾井町１丁目,-,東京都千代田区紀尾井町1-2,35.6797366,139.7380407,紀尾井町 三谷,寿司,BRONZE,"2025/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2018/-, 2022/hyakumeiten, 2021/hyakumeiten",4.09,658,-,-,https://tabelog.com/tokyo/A1308/A130801/13198197/
,港区,赤坂３丁目,赤坂,東京都港区赤坂3-21-10,35.6764362,139.735884,きざ㐂,寿司,BRONZE,"2025/bronze, 2022/hyakumeiten, 2021/hyakumeiten",4.02,421,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1308/A130801/13221218/
,新宿区,四谷三栄町１５丁目,-,東京都新宿区四谷三栄町15-2,35.6885631,139.7270337,北島亭,フレンチ,BRONZE,"2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2018/-, 2023/hyakumeiten, 2021/hyakumeiten",4.02,519,"￥20,000～￥29,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1309/A130902/13000945/
,新宿区,東五軒町５丁目,-,東京都新宿区東五軒町5-5,35.7063525,139.7397557,紀茂登,日本料理,SILVER,"2025/silver, 2024/silver, 2023/silver, 2022/silver, 2021/silver, 2020/silver, 2023/hyakumeiten, 2021/hyakumeiten",4.44,403,"￥80,000～￥99,999",-,https://tabelog.com/tokyo/A1309/A130905/13226856/
,中央区,銀座５丁目,-,東京都中央区銀座5-5-18,35.6716281,139.7637047,きよ田 離れ,寿司,BRONZE,2025/bronze,4.13,37,"￥100,000～",-,https://tabelog.com/tokyo/A1301/A130101/13256392/
,中央区,銀座２丁目,-,東京都中央区銀座2-10-11,35.6720816,139.7682929,銀座 大石,フレンチ,SILVER,"2025/silver, 2024/silver, 2023/silver, 2022/silver, 2021/silver, 2023/hyakumeiten, 2021/hyakumeiten",4.43,675,"￥40,000～￥49,999","￥40,000～￥49,999",https://tabelog.com/tokyo/A1301/A130101/13238352/
,中央区,銀座２丁目,-,東京都中央区銀座2-10-11,35.6720816,139.7682929,銀座 きた川,日本料理、天ぷら,SILVER,"2025/silver, 2024/silver, 2023/hyakumeiten",4.36,294,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1301/A130101/13275790/
,中央区,銀座７丁目,-,東京都中央区銀座7-4-5,35.6701249,139.7611427,銀座 きた福,かに、日本料理、すっぽん,BRONZE,"2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2018/-",3.98,253,"￥40,000～￥49,999","￥40,000～￥49,999",https://tabelog.com/tokyo/A1301/A130101/13183900/
,中央区,銀座２丁目,-,東京都中央区銀座2-8-17,35.6729358,139.7678235,銀座 しのはら,日本料理,GOLD,"2025/gold, 2024/gold, 2023/gold, 2022/gold, 2021/gold, 2020/gold, 2019/gold, 2018/-, 2023/hyakumeiten, 2021/hyakumeiten",4.55,1114,"￥40,000～￥49,999","￥40,000～￥49,999",https://tabelog.com/tokyo/A1301/A130101/13200949/
,中央区,銀座７丁目,-,東京都中央区銀座7-5-15,35.6697935,139.7610478,銀座 上瀧,中華料理、四川料理,BRONZE,"2025/bronze, 2024/bronze, 2024/hyakumeiten, 2023/hyakumeiten",4.07,56,"￥50,000～￥59,999","￥40,000～￥49,999",https://tabelog.com/tokyo/A1301/A130101/13267801/
,中央区,銀座３丁目,-,東京都中央区銀座3-3-6,35.6731203,139.7655234,銀座ふじやま,日本料理,BRONZE,"2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2023/hyakumeiten, 2021/hyakumeiten",4.03,128,"￥40,000～￥49,999","￥40,000～￥49,999",https://tabelog.com/tokyo/A1301/A130101/13232735/
,中央区,銀座４丁目,-,東京都中央区銀座4-5-5,35.6718956,139.7653829,銀座 レカン,フレンチ,BRONZE,"2025/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2018/-, 2023/hyakumeiten, 2021/hyakumeiten",4.14,818,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1301/A130101/13002444/
,新宿区,四谷１丁目,-,東京都新宿区四谷1-9-4,35.6860739,139.7279873,くすのき 本店,天ぷら,SILVER,"2025/silver, 2024/silver, 2023/silver, 2022/silver, 2021/silver, 2020/silver, 2023/hyakumeiten, 2022/hyakumeiten",4.35,309,"￥100,000～","￥40,000～￥49,999",https://tabelog.com/tokyo/A1309/A130902/13223239/
,港区,芝公園１丁目,-,東京都港区芝公園1-7-10,35.6574137,139.7526412,くろぎ,日本料理,BRONZE,"2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2017/-, 2023/hyakumeiten, 2021/hyakumeiten",4.21,387,"￥50,000～￥59,999","￥50,000～￥59,999",https://tabelog.com/tokyo/A1314/A131401/13094789/
,港区,南青山４丁目,-,東京都港区南青山4-16-15,35.6660014,139.7167799,くろ﨑,寿司,BRONZE,2025/bronze,4.13,217,"￥60,000～￥79,999",-,https://tabelog.com/tokyo/A1306/A130602/13268824/
,新宿区,神楽坂４丁目,-,東京都新宿区神楽坂4-3,35.7018057,139.7400296,愚直に,日本料理,BRONZE,"2025/bronze, 2023/hyakumeiten",4.05,158,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1309/A130905/13251541/
,港区,西麻布３丁目,-,東京都港区西麻布3丁目17-23,35.6580758,139.7239833,グルマンディーズ,ビストロ,SILVER,"2025/silver, 2024/gold, 2023/silver, 2022/silver, 2021/silver, 2020/silver, 2019/silver, 2023/hyakumeiten, 2021/hyakumeiten",4.48,319,-,-,https://tabelog.com/tokyo/A1307/A130701/13190448/
,港区,西新橋２丁目,虎ノ門,東京都港区西新橋2-13-6,35.6668319,139.7516011,港式料理 鴻禧,中華料理,BRONZE,"2025/bronze, 2024/hyakumeiten, 2023/hyakumeiten",4.04,92,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1308/A130802/13274319/
,港区,六本木３丁目,六本木,東京都港区六本木3-8-7,35.6631657,139.7345428,虎峰,中華料理,BRONZE,"2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/silver, 2019/silver, 2018/-, 2024/hyakumeiten, 2023/hyakumeiten, 2021/hyakumeiten",4.24,666,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1307/A130701/13194122/
,港区,三田５丁目,-,東京都港区三田5-2-18,35.647217,139.7375566,コート ドール,フレンチ,BRONZE,"2025/bronze, 2024/silver, 2023/silver, 2022/silver, 2021/silver, 2020/silver, 2019/silver, 2018/-, 2023/hyakumeiten, 2021/hyakumeiten",4.25,769,"￥20,000～￥29,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1316/A131602/13001681/
