指標名,大使館・領事館,,,,,,,
出典,外務省,,,,,,,
年次,2025/3/9取得,,,,,,,
URL,https://www.mofa.go.jp/mofaj/link/emblist/,,,,,,,
備考,（2020年度：159件、2021年度：159件、2022年度：154件、2023年度：152件、2024年度：155件）,,,,,,,
,,,,,,,,
区,町丁目,エリア,住所,緯度,経度,施設名,英語名,エリア
港区,南麻布４丁目,-,東京都港区南麻布4丁目6番28号 ヨーロッパ・ハウス,35.650026,139.72709,欧州連合代表部,Delegation of the European Union,ヨーロッパ
港区,南麻布５丁目,-,東京都港区南麻布5丁目3番29号 ガーデニアビルディング2階、3階,35.653428,139.7246,ボスニア・ヘルツェゴビナ大使館,Embassy of Bosnia and Herzegovina in Japan,ヨーロッパ
港区,南麻布４丁目,-,東京都港区南麻布4丁目11-44,35.647168,139.726099,フランス大使館,Embassy of France in Japan,ヨーロッパ
港区,南麻布３丁目,-,東京都港区南麻布3丁目5-39,35.650209,139.728687,フィンランド大使館,Embassy of Finland in Japan,ヨーロッパ
港区,南麻布５丁目,-,東京都港区南麻布5丁目9-12,35.653398,139.723813,スイス大使館,Embassy of Switzerland in Japan,ヨーロッパ
港区,赤坂２丁目,赤坂,東京都港区赤坂1丁目11-36Residence Viscountess #230,35.668679,139.739423,アルメニア共和国大使館,Embassy of the Republic of Armenia in Japan,ヨーロッパ
港区,南青山７丁目,-,東京都港区南青山7-14-12,35.656761,139.717319,スロベニア共和国大使館,Embassy of the Republic of Slovenia in Japan,ヨーロッパ
港区,六本木２丁目,六本木,東京都港区赤坂1-12-32アーク森ビル16階（移転：令和5年7月20日）,35.667108,139.737568,スウェーデン王国大使館,Embassy of Sweden in Japan,ヨーロッパ
港区,三田１丁目,-,東京都港区三田1-5-7,35.653423,139.740192,キルギス共和国大使館,Embassy of the Kyrgyz Republic in Japan,ヨーロッパ
港区,三田２丁目,-,東京都港区三田2-17-14,35.648576,139.740325,ハンガリー大使館,Embassy of Hungary in Japan,ヨーロッパ
港区,高輪２丁目,-,東京都港区高輪2-1-52,35.63963,139.737026,ウズベキスタン共和国大使館,Embassy of the Republic of Uzbekistan in Japan,ヨーロッパ
港区,高輪４丁目,-,東京都港区高輪4丁目16-12,35.626537,139.73301,セルビア共和国大使館,Embassy of the Republic of Serbia in Japan,ヨーロッパ
港区,三田２丁目,-,東京都港区三田2丁目5-4,35.650726,139.742556,イタリア大使館,Embassy of Italy in Japan,ヨーロッパ
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-6-15,35.672981,139.711682,エストニア共和国大使館,Embassy of the Republic of Estonia in Japan,ヨーロッパ
渋谷区,東２丁目,-,東京都渋谷区東2丁目6-14,35.653781,139.710206,トルクメニスタン大使館,Embassy of Turkmenistan in Japan,ヨーロッパ
渋谷区,広尾２丁目,-,東京都渋谷区広尾2丁目16-14,35.651973,139.7168,チェコ共和国大使館,Embassy of the Czech Republic in Japan,ヨーロッパ
渋谷区,広尾３丁目,-,東京都渋谷区広尾3丁目3-10,35.655358,139.714938,クロアチア共和国大使館,Embassy of the Republic of Croatia in Japan,ヨーロッパ
渋谷区,猿楽町,-,東京都渋谷区猿楽町29-6,35.648401,139.699807,デンマーク王国大使館,Royal Danish Embassy in Japan,ヨーロッパ
渋谷区,神山町,-,東京都渋谷区神山町37番11号、プリマヴェーラ神山A号室,35.665176,139.691132,ラトビア共和国大使館,Embassy of the Republic of Latvia in Japan,ヨーロッパ
渋谷区,代々木５丁目,-,東京都渋谷区代々木5丁目36-3,35.673817,139.690226,ブルガリア共和国大使館,Embassy of the Republic of Bulgaria in Japan,ヨーロッパ
新宿区,榎町,-,東京都新宿区榎町72番地 神楽坂榎ビル3階,35.705,139.728749,モルドバ共和国大使館,Embassy of the Republic of Moldova in Japan,ヨーロッパ
千代田区,四番町,-,東京都千代田区四番町7-3,35.6878696,139.7374232,ローマ法王庁大使館,Apostolic Nunciature in Japan,ヨーロッパ
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-3-1 三菱商事株式会社（PM-E）,35.679067,139.763517,在東京モナコ公国名誉総領事館,Honorary Consulate-General of the Principality of Monaco in Tokyo,ヨーロッパ
