,,,,,,,,,,,,,,
,指標名,バス停,,,,,,,,,,,,
,出典,NAVITIME,,,,,,,,,,,,
,年次,2025/2/5 取得,,,,,,,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,,,,,,,
,備考,（2022年度：3590件、2023年度：3645件、2024年度：3652件）,,,,,,,,,,,,
,,,,,,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面1,方面2,種類
,千代田区,八重洲１丁目６?１７大久保ビル1F,日八京,東京都中央区八重洲１丁目６?１７ 大久保ビル 1F,35.6815033,139.7698559,東京駅八重洲口前,32,0.03125,マイタウンライナー幕張ベイエリア・稲毛線〔深夜急行〕,平和交通,西小中台団地方面,,バス停
,千代田区,八重洲１丁目６?１７大久保ビル1F,日八京,東京都中央区八重洲１丁目６?１７ 大久保ビル 1F,35.6815033,139.7698559,東京駅八重洲口前,32,0.03125,新松戸・千葉ニュータウン・成田線〔深夜急行バス〕,成田空港交通,成田空港第２ターミナル/新松戸駅方面,,バス停
,千代田区,八重洲１丁目６?１７大久保ビル1F,日八京,東京都中央区八重洲１丁目６?１７ 大久保ビル 1F,35.6815033,139.7698559,東京駅八重洲口前,32,0.03125,西船橋・千葉ニュータウン・成田線〔深夜急行バス〕,成田空港交通,成田空港第２ターミナル/西船橋駅方面,,バス停
,千代田区,神田花岡町秋葉原駅前,-,東京都千代田区神田花岡町 秋葉原駅前,35.6989391,139.7736511,秋葉原駅前,21,0.047619048,秋２６,都営バス,葛西駅前方面,,バス停
,千代田区,神田花岡町秋葉原駅前,-,東京都千代田区神田花岡町 秋葉原駅前,35.6989391,139.7736511,秋葉原駅前,21,0.047619048,茶５１(駒込駅南口-秋葉原駅前),都営バス,駒込駅南口方面,,バス停
,千代田区,神田花岡町秋葉原駅前,-,東京都千代田区神田花岡町 秋葉原駅前,35.6989391,139.7736511,秋葉原駅前,21,0.047619048,マイタウン・ダイレクトバス：東京-TDR・新浦安,高速バス,日の出七丁目方面,,バス停
,千代田区,神田花岡町秋葉原駅前,-,東京都千代田区神田花岡町 秋葉原駅前,35.6989391,139.7736511,秋葉原駅前,21,0.047619048,２３区内エリア-羽田空港(お台場・浅草),空港連絡バス,羽田空港第３ターミナル（バス）方面,,バス停
,千代田区,神田花岡町秋葉原駅前,-,東京都千代田区神田花岡町 秋葉原駅前,35.6989391,139.7736511,秋葉原駅前,21,0.047619048,浅草・秋葉原・東京・銀座-羽田空港〔早朝〕,空港連絡バス,羽田空港第３ターミナル（バス）方面,,バス停
,千代田区,神田花岡町秋葉原駅前,-,東京都千代田区神田花岡町 秋葉原駅前,35.6989391,139.7736511,秋葉原駅前,21,0.047619048,夕陽号：東京・新宿・渋谷-鶴岡・余目・酒田,高速バス,庄内町余目駅前/酒田駅前方面,,バス停
,千代田区,神田花岡町秋葉原駅前,-,東京都千代田区神田花岡町 秋葉原駅前,35.6989391,139.7736511,秋葉原駅前,21,0.047619048,東京特急ニュースター号：東京-京都・大阪〔大阪バス〕,高速バス,京都駅八条口/大阪駅桜橋口方面,,バス停
,千代田区,神田花岡町秋葉原駅前,-,東京都千代田区神田花岡町 秋葉原駅前,35.6989391,139.7736511,秋葉原駅前,21,0.047619048,関東やきものライナー：東京-笠間・益子,高速バス,笠間駅前/益子駅方面,,バス停
,千代田区,神田花岡町秋葉原駅前,-,東京都千代田区神田花岡町 秋葉原駅前,35.6989391,139.7736511,秋葉原駅前,21,0.047619048,秋葉原-富士急ハイランド・河口湖,高速バス,河口湖駅方面,,バス停
,千代田区,神田花岡町秋葉原駅前,-,東京都千代田区神田花岡町 秋葉原駅前,35.6989391,139.7736511,秋葉原駅前,21,0.047619048,どっとこむライナー：新宿・池袋-長野,昌栄交通(高速バス),長野駅〔新高速バス〕方面,,バス停
,千代田区,神田花岡町秋葉原駅前,-,東京都千代田区神田花岡町 秋葉原駅前,35.6989391,139.7736511,秋葉原駅前,21,0.047619048,流星号：東京-関西,軽井沢バス(高速バス),湊町バスターミナル〔ＯＣＡＴ〕方面,,バス停
,千代田区,神田花岡町秋葉原駅前,-,東京都千代田区神田花岡町 秋葉原駅前,35.6989391,139.7736511,秋葉原駅前,21,0.047619048,流星号：東京-名古屋,軽井沢バス(高速バス),名古屋南ささしまライブ方面,,バス停
,千代田区,神田花岡町秋葉原駅前,-,東京都千代田区神田花岡町 秋葉原駅前,35.6989391,139.7736511,秋葉原駅前,21,0.047619048,LimonBus：東京-大阪,神姫観光バス(高速バス),大阪駅前〔桜橋口ＪＲ線高架下〕方面,,バス停
,千代田区,神田花岡町秋葉原駅前,-,東京都千代田区神田花岡町 秋葉原駅前,35.6989391,139.7736511,秋葉原駅前,21,0.047619048,東京-広島,ジャムジャムライナー(高速バス),広島駅〔南口〕方面,,バス停
,千代田区,神田花岡町秋葉原駅前,-,東京都千代田区神田花岡町 秋葉原駅前,35.6989391,139.7736511,秋葉原駅前,21,0.047619048,首都圏-名古屋,さくら高速バス(高速バス),名古屋南ささしまライブ方面,,バス停
