指標名,バス停,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2023/1/27 取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,"（2021年度：3,601件、2022年度：3568件）",,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁目,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面1,方面2,種類
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-常陸太田・常陸大宮・常陸大子,高速バス,常陸太田市高速バスターミナル/常陸大宮市総合保健センター方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-秋田/エクスプレス鳥海号,高速バス,羽後本荘駅前方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,ミッドナイトアロー春日部,東武バス,春日部駅西口方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,深夜急行〔大船行き〕,神奈川中央交通,横浜駅西口/大船駅東口〔笠間口〕方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,深夜急行〔平塚行き〕,神奈川中央交通,藤沢駅北口/平塚駅北口方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,深夜急行〔本厚木行き〕,神奈川中央交通,町田バスセンター/本厚木駅方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-新潟/関東→新潟〔昼行便〕,ウィラー(高速バス),長岡駅大手口〔東坂之上〕/新潟駅南口方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-上高地/さわやか信州号,高速バス,上高地バスターミナル方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京・大網線,千葉中央バス,大網駅方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-冨里・多古,高速バス,航空博物館前/多古台バスターミナル方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,茨城空港-東京駅線,関東鉄道,茨城空港（バス）方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-岐阜・愛知/中央ライナー可児号,高速バス,多治見駅前〔南口〕/可児車庫方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-岐阜・愛知/ドリーム可児号,高速バス,多治見駅前〔南口〕/可児車庫方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京駅-東京港フェリーターミナル線,JRバス関東,東京港フェリーターミナル方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,仙台線〔成田空港・TDR-仙台駅〕,成田空港交通,仙台駅東口方面,-,バス停
中央区,八重洲一丁目,日八京,東京都中央区八重洲1丁目6東京駅八重洲口前(ﾊﾞｽ),35.681503,139.769856,東京駅八重洲口前,118,0.008475,ちばきたライナー(東京駅八重洲口→草野車庫),京成バス,草野車庫（千葉県）方面,-,バス停
中央区,八重洲一丁目,日八京,東京都中央区八重洲1丁目6東京駅八重洲口前(ﾊﾞｽ),35.681503,139.769856,東京駅八重洲口前,118,0.008475,東京-千葉/マイタウン・ダイレクト〔千城台〕,高速バス,千城台駅方面,-,バス停
中央区,八重洲一丁目,日八京,東京都中央区八重洲1丁目6東京駅八重洲口前(ﾊﾞｽ),35.681503,139.769856,東京駅八重洲口前,118,0.008475,深夜急行：船橋・北習志野・八千代緑が丘方面,船橋新京成バス,鎌ヶ谷大仏（バス）方面,-,バス停
中央区,八重洲一丁目,日八京,東京都中央区八重洲1丁目6東京駅八重洲口前(ﾊﾞｽ),35.681503,139.769856,東京駅八重洲口前,118,0.008475,マイタウン・ダイレクト〔ユーカリが丘-東京〕,高速バス,ユーカリが丘（バス）方面,-,バス停
中央区,八重洲一丁目,日八京,東京都中央区八重洲1丁目6東京駅八重洲口前(ﾊﾞｽ),35.681503,139.769856,東京駅八重洲口前,118,0.008475,マイタウン・ダイレクト〔国立歴史民俗博物館-東京〕,高速バス,国立歴史民俗博物館方面,-,バス停
中央区,八重洲一丁目,日八京,東京都中央区八重洲1丁目6東京駅八重洲口前(ﾊﾞｽ),35.681503,139.769856,東京駅八重洲口前,118,0.008475,マイタウンライナーおゆみ野／ちはら台線,平和交通,ちはら台駅方面,-,バス停
中央区,八重洲一丁目,日八京,東京都中央区八重洲1丁目6東京駅八重洲口前(ﾊﾞｽ),35.681503,139.769856,東京駅八重洲口前,118,0.008475,幕張ベイエリア線,平和交通/あすか交通,平和交通本社方面,-,バス停
中央区,八重洲一丁目,日八京,東京都中央区八重洲1丁目6東京駅八重洲口前(ﾊﾞｽ),35.681503,139.769856,東京駅八重洲口前,118,0.008475,マイタウンライナー外房大網線〔深夜急行〕,平和交通,大網駅/山田インター入口方面,-,バス停
中央区,八重洲一丁目,日八京,東京都中央区八重洲1丁目6東京駅八重洲口前(ﾊﾞｽ),35.681503,139.769856,東京駅八重洲口前,118,0.008475,マイタウンライナー成田線〔深夜急行〕,平和交通,ＪＲ佐倉駅〔北口〕/ＪＲ成田駅〔東口〕方面,-,バス停
中央区,八重洲一丁目,日八京,東京都中央区八重洲1丁目6東京駅八重洲口前(ﾊﾞｽ),35.681503,139.769856,東京駅八重洲口前,118,0.008475,マイタウンライナー千葉ニュータウン線〔深夜急行〕,平和交通,新鎌ケ谷駅/印旛日本医大駅方面,-,バス停
中央区,八重洲一丁目,日八京,東京都中央区八重洲1丁目6東京駅八重洲口前(ﾊﾞｽ),35.681503,139.769856,東京駅八重洲口前,118,0.008475,マイタウンライナー勝田台・ユーカリが丘線〔深夜急行〕,平和交通,ユーカリが丘駅北入口方面,-,バス停
