指標名,コンベンション施設,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,
年次,2023/3/21取得,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention-venues/,,,,,,
備考,部屋数、収容人数などは各URLを参照。（2019年度：179件、2020年度：203件、2021年度：199件、2022年度：202件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
港区,赤坂一丁目,虎ノ門,東京都港区赤坂1-8-1 東京都赤坂インターシティAIR 東京都3F・4F,35.6699740,139.7426770,赤坂インターシティコンファレンス,https://aicc.tokyo/
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-4 東京都東京ガーデンテラス紀尾井町 東京都紀尾井タワー4階,35.6796950,139.7369480,東京ガーデンテラス紀尾井町　紀尾井カンファレンス,http://conference.tgt-kioicho.jp/
港区,赤坂二丁目,赤坂,東京都港区赤坂２丁目14-27 東京都国際新赤坂ビル 東京都東館 東京都13F/14F 東京都（事務所：14F）,35.6720270,139.7369640,TKP赤坂駅カンファレンスセンター,https://www.kashikaigishitsu.net/facilitys/cc-akasaka/
千代田区,神田錦町三丁目,-,東京都千代田区神田錦町3-22 東京都テラススクエア3F 東京都（事務所：3F）,35.6937360,139.7605580,TKP Garden City Premium神保町,https://www.kashikaigishitsu.net/facilitys/gcp-jimbocho/
千代田区,外神田一丁目,-,東京都千代田区外神田1-7-5 東京都フロントプレイス秋葉原 東京都2F/3F 東京都（事務所：2F）,35.6995800,139.7700050,TKP Garden City Premium秋葉原,http://tkp-akihabara.net/
渋谷区,神宮前五丁目,-,東京都渋谷区神宮前5-31,35.6644880,139.7039670,TRUNK(HOTEL),http://trunk-hotel.com/event/
中央区,京橋二丁目,日八京,東京都中央区京橋2-2-1 東京都京橋エドグラン 東京都22F 東京都（事務所：22F）,35.6773660,139.7695020,TKP Garden City Premium 京橋,https://www.kashikaigishitsu.net/facilitys/gcp-kyobashi/
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-2-1,35.6774150,139.7608840,東京會舘,https://www.kaikan.co.jp/
新宿区,霞ヶ丘町,-,東京都新宿区霞ヶ丘町4-1,35.6742010,139.7155210,日本青年館ホテル,http://nippon-seinenkan.or.jp/
港区,港南一丁目,-,"東京都港区港南1-6-41 東京都品川クリスタルスクエア2,3F",35.6313340,139.7455780,フクラシア　品川クリスタルスクエア,https://www.fukuracia.jp/shinagawa/
中央区,八重洲二丁目,日八京,東京都中央区八重洲２－４－１ 東京都ユニゾ八重洲ビル3階,35.6784210,139.7685190,フクラシア　八重洲,https://www.fukuracia.jp/yaesu/
千代田区,大手町二丁目,大丸有,東京都千代田区大手町2-6-1 東京都朝日生命大手町ビル 東京都5.6階,35.6845070,139.7690770,フクラシア　東京ステーション,https://www.fukuracia.jp/tokyo/
千代田区,丸の内一丁目,大丸有,"東京都千代田区丸の内1-6-5 東京都丸の内北口ビル15,16F",35.6839620,139.7668770,フクラシア　丸の内オアゾ,https://www.fukuracia.jp/marunouchi/
江東区,有明二丁目,-,東京都江東区有明2丁目1,35.6391430,139.7942020,東京ガーデンシアター,
千代田区,有楽町一丁目,大丸有,東京都千代田区有楽町１丁目１?２,35.6737130,139.7591730,日比谷三井カンファレンス,https://www.hibiya.tokyo-midtown.com/jp/conference/top/
港区,浜松町二丁目,-,東京都港区浜松町二丁目3番1号,35.6559810,139.7556150,浜松町コンベンションホール,http://www.hmc.conventionhall.jp/
千代田区,大手町二丁目,大丸有,東京都千代田区大手町2-3-2,35.6870810,139.7681220,大手町プレイスカンファレンスセンター,http://conference.otemachi-place.jp
千代田区,内幸町二丁目,-,東京都千代田区内幸町2丁目2-3 東京都日比谷国際ビル8階,35.6703660,139.7543510,日比谷国際ビル コンファレンス スクエア,https://hibikoku.tokyo/
新宿区,西新宿二丁目,-,東京都新宿区西新宿2-6-1 東京都新宿住友ビル1階,35.6914200,139.6925950,新宿住友ビル 三角広場,https://office-b.sumitomo-rd.co.jp/sankakuhiroba/
渋谷区,渋谷三丁目,-,東京都渋谷区渋谷3-21-3 東京都渋谷ストリーム 東京都ホール,35.6573190,139.7030230,渋谷ストリームホール,http://stream-hall.jp/
千代田区,有楽町二丁目,大丸有,東京都千代田区有楽町2-5-1,35.6736900,139.7625140,ヒューリックホール東京,http://hulic-theater.com/
品川区,北品川五丁目,-,東京都品川区北品川5-5-15 東京都大崎ブライトコア3F,35.6222490,139.7310440,大崎ブライトコアホール,https://osaki-hall.jp/
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-2-1 東京都Otemachi 東京都One 東京都3F,35.6878560,139.7632720,大手町三井ホール,https://www.otemachi-hall.jp/
港区,港南二丁目,-,東京都港区港南2-16-4 東京都品川グランドセントラルタワー3階,35.6266080,139.7404440,THE GRAND HALL,http://tg-hall.com/
港区,海岸一丁目,-,東京都港区海岸1-7-1 東京都東京ポートシティ竹芝オフィスタワー 東京都1F～5F,35.6552480,139.7607200,東京都立産業貿易センター 浜松町館（東京ポートシティ竹芝オフィスタワー内）,https://www.sanbo.metro.tokyo.lg.jp/hamamatsucho/
港区,海岸一丁目,-,東京都港区海岸1-7-1 東京都東京ポートシティ竹芝オフィスタワー1階,35.6552480,139.7607200,東京ポートシティ竹芝ポートホール/ポートスタジオ,https://www.portcity-hall.tokyo/
江東区,有明三丁目,-,東京都江東区有明3-7-18有明セントラルタワー3F・4F,35.6321110,139.7915390,有明セントラルタワーホール＆カンファレンス,https://ariake-hall.jp/
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1丁目2-1,35.687886,139.761593,フォーシーズンズホテル東京大手町,https://www.fourseasons.com/jp/otemachi/
中央区,日本橋室町三丁目,日八京,東京都中央区日本橋室町3-2-1 COREDO室町テラス 3階,35.688057,139.772463,室町三井ホール＆カンファレンス,https://www.mitsui-mice.jp/nihonbashi/muromachi/
