指標名,スーパー,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/20 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：458件、2021年度：532件、2022年度：523件）,,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
港区,芝四丁目,-,東京都港区芝4-10-3住友生命三田ビル,まいばすけっと 芝4丁目店,その他スーパー,35.648307,139.751832
港区,東麻布一丁目,-,東京都港区東麻布1-8-1 東麻布ISビル,まいばすけっと 東麻布1丁目店,その他スーパー,35.657055,139.743049
港区,台場一丁目,-,東京都港区台場1-1-3 都営台場1丁目アパート内,まいばすけっと 台場1丁目店,その他スーパー,35.634383,139.776417
港区,赤坂三丁目,赤坂,東京都港区赤坂3-16-11東海赤坂ビル,まいばすけっと 赤坂3丁目店,その他スーパー,35.674858,139.736822
港区,赤坂五丁目,赤坂,東京都港区赤坂5-3-1 赤坂BizタワーB1F,成城石井 赤坂Bizタワー店,その他スーパー,35.673175,139.736359
港区,西麻布三丁目,-,東京都港区西麻布3-3-23 フィルドア西麻布,まいばすけっと 西麻布3丁目店,その他スーパー,35.658253,139.727085
港区,芝二丁目,-,東京都港区芝2-12-16 Ocean 1st,まいばすけっと 芝2丁目店,その他スーパー,35.651611,139.75269
港区,西麻布四丁目,-,東京都港区西麻布4-15-2 レジディア西麻布1F,成城石井 西麻布店,その他スーパー,35.659138,139.72107
港区,芝浦一丁目,-,東京都港区芝浦1-7-14 岡家寿ビル,まいばすけっと 芝浦1丁目店,その他スーパー,35.648072,139.754252
港区,南麻布二丁目,-,東京都港区南麻布2-11-10 OJビル,まいばすけっと 南麻布古川橋店,その他スーパー,35.647684,139.735784
港区,浜松町一丁目,-,東京都港区浜松町1-2-17\ストークベル浜松町,まいばすけっと 浜松町1丁目店,その他スーパー,35.65977,139.755904
港区,白金六丁目,-,東京都港区白金6-21-8東幸ビル第1,まいばすけっと 白金6丁目店,その他スーパー,35.643903,139.721756
港区,三田二丁目,-,東京都港区三田2-11-15 三田川崎ビル,まいばすけっと 三田2丁目店,その他スーパー,35.650302,139.744511
港区,海岸三丁目,-,東京都港区海岸3-2-15 パークフラッツ芝浦,まいばすけっと 海岸3丁目店,その他スーパー,35.643276,139.755185
港区,南青山一丁目,-,東京都港区南青山1-3-2 青山1丁目タワー1階,まいばすけっと 青山一丁目店,その他スーパー,35.671746,139.725554
港区,西麻布三丁目,-,東京都港区西麻布3丁目13-14 LA・RES,まいばすけっと 西麻布店,その他スーパー,35.657044,139.724083
港区,芝浦三丁目,-,東京都港区芝浦3-14-19 相鉄フレッサイン東京田町ANNEX,まいばすけっと 芝浦3丁目店,その他スーパー,35.64272,139.747853
港区,虎ノ門三丁目,虎ノ門,東京都港区虎ノ門3-25-2虎ノ門ESビル,まいばすけっと 虎ノ門3丁目店,その他スーパー,35.662481,139.745842
港区,東麻布二丁目,-,東京都港区東麻布2-29-1 コンフォリア麻布EAST 1F,成城石井 東麻布店,その他スーパー,35.655961,139.741931
新宿区,百人町二丁目,-,東京都新宿区百人町2-1-2,チョンガーネ,その他スーパー,35.701614,139.702027
新宿区,河田町,-,東京都新宿区河田町3-31,三徳?河田店,その他スーパー,35.696125,139.721736
新宿区,新宿三丁目,-,東京都新宿区新宿3-22-12,三平ストア 新宿店,その他スーパー,35.693162,139.701867
新宿区,市谷船河原町,-,東京都新宿区市ヶ谷船河原町1 市ヶ谷エスワンビル,肉のハナマサ 市ヶ谷店,その他スーパー,35.69724,139.739696
新宿区,住吉町,-,東京都新宿区住吉町3-17 グランリドー,まいばすけっと 新宿住吉町店,その他スーパー,35.69209,139.719678
新宿区,西新宿八丁目,-,東京都新宿区西新宿8-5-10 新宿グロウビル,まいばすけっと 西新宿8丁目店,その他スーパー,35.695296,139.692952
新宿区,水道町,-,東京都新宿区水道町4番13号,マルエツ 江戸川橋店,その他スーパー,35.708395,139.736343
新宿区,新宿六丁目,-,東京都新宿区新宿6-27-29,マルエツ 新宿六丁目店,その他スーパー,35.695902,139.708295
新宿区,若松町,-,東京都新宿区若松町28-5,ライフ 若松河田駅前店,その他スーパー,35.699795,139.718823
新宿区,富久町,-,東京都新宿区富久町17-2,ヨークフーズ 新宿富久店,その他スーパー,35.692618,139.713137
新宿区,大久保三丁目,-,東京都新宿区大久保3-10-1,マルエツ オレンジコート店,その他スーパー,35.708575,139.705118
新宿区,市谷薬王寺町,-,東京都新宿区市谷薬王寺町59 レジディア市谷薬王寺,まいばすけっと 市谷薬王寺町店,その他スーパー,35.696048,139.725427
新宿区,新宿三丁目,-,東京都新宿区新宿3-38-2 ルミネ新宿店 ルミネ2 1F,成城石井 ルミネ新宿ルミネ2店,その他スーパー,35.689673,139.700621
新宿区,下落合四丁目,-,東京都新宿区下落合4丁目21-18,オーケー下落合店,その他スーパー,35.721715,139.696761
新宿区,北新宿四丁目,-,東京都新宿区北新宿4-8-18ライオンズマンション北新宿,まいばすけっと 北新宿4丁目店,その他スーパー,35.709276,139.693807
新宿区,西落合二丁目,-,東京都新宿区西落合2-7-16 プルミエ,まいばすけっと 西落合2丁目店,その他スーパー,35.720314,139.678356
新宿区,四谷四丁目,-,東京都新宿区四谷4-1-1細井ビル,まいばすけっと 四谷4丁目店,その他スーパー,35.68744,139.718286
新宿区,百人町二丁目,-,東京都新宿区百人町2-11-25 新戸山ビル,まいばすけっと 新大久保駅前店,その他スーパー,35.701821,139.699155
新宿区,下落合三丁目,-,東京都新宿区下落合3-19-2 フイユ・ドール目白,まいばすけっと 目白駅西店,その他スーパー,35.722764,139.703517
新宿区,東五軒町,-,東京都新宿区東五軒町6-31 ライオンズマンション飯田橋,まいばすけっと 東五軒町店,その他スーパー,35.708069,139.740414
新宿区,西早稲田一丁目,-,東京都新宿区西早稲田1-9-22 ワセダハウス,まいばすけっと 西早稲田1丁目店,その他スーパー,35.711136,139.720594
新宿区,天神町,-,東京都新宿区天神町14神楽坂藤井ビル,まいばすけっと 神楽坂駅西店,その他スーパー,35.704477,139.73205
新宿区,西五軒町,-,東京都新宿区西五軒町8-8 サンセール神楽坂,まいばすけっと 西五軒町店,その他スーパー,35.707183,139.737139
新宿区,百人町二丁目,-,東京都新宿区百人町2-26-9 NCスクエア新宿,まいばすけっと 新宿百人町2丁目店,その他スーパー,35.704001,139.695016
新宿区,市谷甲良町,-,東京都新宿区市ヶ谷甲良町2-17,まいばすけっと 牛込柳町駅東店,その他スーパー,35.699262,139.728391
新宿区,新宿五丁目,-,東京都新宿区新宿5-11-22 中島ビル,まいばすけっと 新宿5丁目店,その他スーパー,35.693233,139.707931
新宿区,北新宿一丁目,-,東京都新宿区北新宿1-20-13 アーバネックス西新宿,まいばすけっと 北新宿税務署通り店,その他スーパー,35.697308,139.692546
新宿区,原町三丁目,-,東京都新宿区原町3-30 タカビル,まいばすけっと 新宿原町3丁目店,その他スーパー,35.7001,139.721816
新宿区,大久保二丁目,-,東京都新宿区大久保2-6-10 新宿第2アルプスマンション,まいばすけっと 東新宿駅北店,その他スーパー,35.701692,139.707931
新宿区,住吉町,-,東京都新宿区住吉町5-5 寿光ビル,まいばすけっと 曙橋駅前店,その他スーパー,35.693305,139.720918
新宿区,百人町二丁目,-,東京都新宿区百人町2-27-7 ハンドレッドサーカスイーストタワー1階,まいばすけっと 大久保店,その他スーパー,35.702333,139.695525
新宿区,早稲田鶴巻町,-,東京都新宿区早稲田鶴巻町564 ハウゼタカスギ,まいばすけっと 早稲田鶴巻町店,その他スーパー,35.70909,139.72621
新宿区,西早稲田三丁目,-,東京都新宿区西早稲田3-20-2 sola西早稲田,まいばすけっと 西早稲田3丁目店,その他スーパー,35.711142,139.711781
新宿区,細工町,-,東京都新宿区細工町3-15 石黒ビル,まいばすけっと 牛込神楽坂駅西店,その他スーパー,35.699526,139.73293
新宿区,高田馬場一丁目,-,東京都新宿区高田馬場1-2-15 早稲田永谷マンション1階,まいばすけっと 西早稲田駅前店,その他スーパー,35.709556,139.709128
新宿区,百人町二丁目,-,東京都新宿区百人町2-6-7ライズ高踏園,まいばすけっと 百人町文化通り店,その他スーパー,35.704054,139.700209
