指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/20 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：609件、2021年度：668件、2022年度：899件）,,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
新宿区,戸山二丁目,-,東京都新宿区坂町22,桝箕稲荷神社,神社,35.703262,139.711743
新宿区,喜久井町,-,東京都新宿区喜久井町20,池立神社,神社,35.703618,139.722095
新宿区,天神町,-,東京都新宿区天神町75-13,北野神社,神社,35.706214,139.730581
新宿区,内藤町,-,東京都新宿区内藤町1,多武峯内藤神社,神社,35.687090,139.715282
新宿区,原町三丁目,-,東京都新宿区原町3-20,稲荷神社,神社,35.699997,139.722674
新宿区,岩戸町,-,東京都新宿区岩戸町14-2,稲荷神社,神社,35.701103,139.737005
新宿区,下落合二丁目,-,東京都新宿区下落合2-10-5,稲荷神社,神社,35.717750,139.702007
新宿区,西早稲田三丁目,-,東京都新宿区西早稲田3-17-36,天祖神社,神社,35.712716,139.713736
新宿区,余丁町,-,東京都新宿区余丁町8-5,厳島神社,神社,35.697615,139.713362
新宿区,原町一丁目,-,東京都新宿区原町1-42,天祖神社,神社,35.700630,139.725825
新宿区,新宿六丁目,-,東京都新宿区新宿6-21-1,西向天神社,神社,35.696186,139.711222
新宿区,余丁町,-,東京都新宿区余丁町12-18,稲荷神社,神社,35.697526,139.716968
新宿区,若松町,-,東京都新宿区若松町45,稲荷神社,神社,35.700261,139.717307
新宿区,早稲田鶴巻町,-,東京都新宿区早稲田鶴巻町530,天祖神社,神社,35.706973,139.722305
新宿区,早稲田鶴巻町,-,東京都新宿区早稲田鶴巻町568,元赤城神社,神社,35.708270,139.726241
新宿区,内藤町,-,東京都新宿区内藤町1-8,多武峯内藤神社社務所,神社,35.685181,139.715268
新宿区,若葉一丁目,-,東京都新宿区若葉1丁目22,宗教法人龍神総宮社東京支部,神社,35.682431,139.726206
江東区,亀戸三丁目,-,東京都江東区亀戸3-6-1,亀戸天神社,神社,35.703144,139.821007
江東区,富岡一丁目,-,東京都江東区富岡1-20-3,富岡八幡宮,神社,35.672369,139.799186
江東区,南砂七丁目,-,東京都江東区南砂7丁目14-18,富賀岡八幡宮,神社,35.669282,139.837572
江東区,木場六丁目,-,東京都江東区木場6丁目13-13,洲崎神社,神社,35.668445,139.807733
