指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2023/2/10取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,2020年度：645件、2021年度：679件、2022年度：728件,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,ポート名,緯度,経度,休止・再開・閉鎖情報,営業時間・備考
中央区,日本橋浜町二丁目,-,東京都中央区日本橋浜町2-31-1,B1-08.明治座 /?Meijiza,35.687754,139.787322,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋本町一丁目,日八京,東京都中央区日本橋本町1-4-14,B1-09.スマイルホテル日本橋三越前 /?Smile Hotel Nihonbashi Mitsukoshimae,35.686262,139.77603,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋箱崎町,-,東京都中央区日本橋箱崎町3-1,B1-10.箱崎川第二公園 /?Hakozakigawa Dai-ni Park,35.680938,139.78496,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋蛎殻町二丁目,-,東京都中央区日本橋橋蛎殻町2-17先,B1-11.浜町川緑道 / Hamacho-gawa Ryokudo,35.684446,139.787413,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋堀留町二丁目,-,東京都中央区日本橋堀留町2-10-12,B1-12.ファミリーマート堀留町二丁目店 /?Familly Mart Horidomecho 2-chome Store,35.687801,139.781968,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋蛎殻町二丁目,-,東京都中央区日本橋蛎殻町2-1-1,B1-15.ロイヤルパークホテル / ROYAL PARK HOTEL,35.68238,139.786593,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋小網町,-,東京都中央区日本橋小網町9-1,"B1-16.小網町児童遊園
?/ Koamicho Children's Playground",35.68369,139.780049,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋小網町,-,東京都中央区日本橋小網町1-3,B1-18.セブン-イレブン 日本橋小網町店 / Seven-Eleven Nihonbashi Koamicho store,35.681207,139.781354,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋本石町四丁目,日八京,東京都中央区日本橋本石町4-1先,B1-20.竜閑さくら橋際街角広場 / Ryuukan Sakura Bridge Street Corner Plaza,35.688314,139.768902,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋二丁目,日八京,東京都中央区日本橋2-10先,B1-21.日本橋二丁目街角広場 / Nihonbashi 2-Chome　Street Corner Plaza,35.680999,139.774807,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋箱崎町,-,東京都中央区日本橋箱崎町6-7,B1-23.NANAEI日本橋 / NANAEI NIHONBASHI,35.679391,139.784151,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町11-19,B1-24.SOHO30,35.689723,139.78153,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋堀留町二丁目,-,東京都中央区日本橋堀留町2-1-7,B1-26.in the Hood 日本橋 / in the Hood Nihonbashi,35.687962,139.781207,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋本町四丁目,日八京,東京都中央区日本橋本町4-9-11,B1-27.日本橋本町4丁目 / Nihonbashi Honcho 4 chome,35.689928,139.776191,-,営業時間 24時間 / Open for 24 hours
