指標名,スポーツ施設,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/17 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：423件、2021年度：912件、2022年度：959件）,,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
中央区,月島一丁目,-,東京都中央区月島1-22-1 ミッドタワーグランド1F 112区画,Dr.stretch(ドクターストレッチ) 月島店,スポーツクラブ/フィットネスクラブ,35.663543,139.782303
中央区,日本橋室町一丁目,日八京,東京都中央区日本橋室町1-4-1 日本橋三越本店 新館9F,三越カルチャーサロン,スポーツスクール/体験,35.685062,139.774131
中央区,銀座六丁目,-,東京都中央区銀座6-4-6 646ビル B1F,BurnesStyle GINZA(バーネススタイル ギンザ),スポーツクラブ/フィットネスクラブ,35.671337,139.761714
中央区,銀座一丁目,-,東京都中央区銀座1-15-13 VORT銀座レジデンス,1on1 YOGA(ワンオンワン ヨガ) 銀座,スポーツクラブ/フィットネスクラブ,35.673708,139.769992
中央区,銀座一丁目,-,東京都中央区銀座1-7-17 ヒューリック銀座1丁目ガス灯通りビル 3F,PRGR GINZA EX(プロギア ギンザ イーエックス),ゴルフ練習場,35.674573,139.767981
中央区,銀座三丁目,-,東京都中央区銀座3-6-1 松屋銀座 5F,GYM CLOUD(ジム クラウド) 松屋銀座店,スポーツクラブ/フィットネスクラブ,35.672262,139.766653
中央区,新富二丁目,-,東京都中央区新富2-13-1 榮ビル 3F,Lani Garden(ラニ ガーデン),スポーツクラブ/フィットネスクラブ,35.670771,139.774423
中央区,銀座一丁目,-,東京都中央区銀座1-18-2 辰ビル1F,ストレッチ専門店Dr.ストレッチ 銀座一丁目店,スポーツスクール/体験,35.673954,139.771488
中央区,銀座二丁目,-,東京都中央区銀座2-7-18 メルサ銀座2丁目店 3F,ストレッチ専門店Dr.ストレッチ 銀座二丁目店,スポーツスクール/体験,35.673453,139.767816
中央区,銀座七丁目,-,東京都中央区銀座7-2-4 アンジェリックフォセッテビル4F,パーソナルジムASPI(アスピ)銀座有楽町店,スポーツクラブ/フィットネスクラブ,35.671012,139.760636
中央区,銀座四丁目,-,東京都中央区銀座4-1 西銀座 B2F,トレーナーズ 西銀座店,スポーツクラブ/フィットネスクラブ,35.673064,139.763533
中央区,築地二丁目,-,東京都中央区築地2-10-4 エミタ銀座イーストビル 6F,Bios(ビオス) 銀座築地店,スポーツクラブ/フィットネスクラブ,35.668995,139.773415
中央区,銀座二丁目,-,東京都中央区銀座2-9-13 GINZA-2ビル7F,APFCLUB 銀座 (エーピーエフクラブ),スポーツクラブ/フィットネスクラブ,35.672571,139.768103
