0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,指標名,ミシュラン掲載レストラン,,,,,,,3つ星,特別な料理,
,出典,ミシュランガイド東京 2025,,,,,,,2つ星,優れた料理,
,年次,2025年,,,,,,,1つ星,高品質な料理,
,URL,https://guide.michelin.com/jp/ja/tokyo-region/restaurants,,,,,,,ビブグルマン,価格以上の満足感が得られる料理,
,備考,（2019年：318件、2020年：322件、2022年度：318件、2023年度：400件、2024年度：419件、2025年度：390件）,,,,,,,,,
,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,店舗名,カテゴリ,星数,価格帯,URL
,港区,白金６丁目,-,東京都港区白金6-6-1,35.6442847,139.7256198,洋食 エドヤ／Yoshoku Edoya,洋食,ビブグルマン：価格以上の満足感が得られる料理,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yoshoku-edoya
,港区,六本木７丁目,六本木,東京都港区六本木7-5-11,35.6649259,139.7278073,九九九／Kukuku,"クリエイティブ, 日本料理",-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kukuku
,港区,西麻布４丁目,-,東京都港区西麻布4-2-5,35.6580891,139.7236063,七ひろ／NANAHIRO,現代風料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nanahiro
,港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門2-6-2虎ノ門ヒルズステーションタワー4,35.6673323,139.7473131,ケイ コレクション パリ／KEI Collection PARIS,"フランス料理, 現代風料理",-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kei-collection-paris
,港区,西麻布２丁目,-,東京都港区西麻布2-15-1,35.6616422,139.7209771,ル ブトン／Le Bouton,フランス料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/le-bouton
,港区,西麻布２丁目,-,東京都港区西麻布2-24-14b,35.6602626,139.7223248,上／JO,牛肉料理,ミシュラン 一つ星: 優れた料理,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/jo
,港区,南青山２丁目,-,東京都港区南青山2-6-15,35.6715648,139.7218885,ナリサワ／NARISAWA,イノベーティブ,ミシュラン 二つ星: 素晴らしい料理,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/narisawa
,港区,白金台４丁目,-,東京都港区白金台4-2-7,35.6393592,139.7281112,シノワ／ShinoiS,中国料理,ミシュラン 一つ星: 優れた料理,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shinois
,港区,東麻布２丁目,-,東京都港区東麻布2-26-16,35.6564907,139.7399653,ラ・リューン／La Lune,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/la-lune-1210250
,港区,六本木５丁目,六本木,東京都港区六本木5-18-22,35.6610845,139.737013,メティス 六本木／Mētis Roppongi,フランス料理,ミシュラン 一つ星: 優れた料理,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/metis-roppongi
,港区,白金台５丁目,-,東京都港区白金台5-18-17,35.6371434,139.7233575,ジョンティ アッシュ／gentil H,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/gentil-h
,港区,白金台３丁目,-,東京都港区白金台3-18-5,35.6353281,139.7210052,地蔵鮓／Jizozushi,寿司,ミシュラン 一つ星: 優れた料理,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/jizozushi
,港区,赤坂６丁目,赤坂,東京都港区赤坂6-13-8,35.6699391,139.7340557,赤坂 菊乃井／Akasaka Kikunoi,日本料理,ミシュラン 二つ星: 素晴らしい料理,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/akasaka-kikunoi
,港区,麻布十番２丁目,-,東京都港区麻布十番2-7-14,35.6558855,139.7334241,クラージュ／Courage,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/courage
,港区,赤坂８丁目,赤坂,東京都港区赤坂8-12-12,35.6700676,139.7300226,フィレモネ／Filemone,イタリア料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/filemone
