0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,港区,西麻布１丁目,-,港区西麻布1-8-4三保谷硝子b1f,35.6607357,139.7259163,新世界,ライブハウス ･ イベントスペース,Live ･ Others,03-5772-6767,-,,50席 / 立100名,,https://www.tokyo-club.net/shinsekai/
,港区,南青山５丁目,-,港区南青山5-11-9レキシントン青山ビルb1f,35.6624617,139.7121699,IDOL,カフェ ･ イベントスペース,House ･ Electronic ･ Others ･ Disco,03-6427-4779,-,,148坪,"カフェ 1,200円 / イベント時 3,000円前後",https://www.tokyo-club.net/idol/
,港区,六本木５丁目,六本木,港区六本木5-16-52インペリアル六本木２号館2f,35.6616341,139.7352446,WONDER LOUNGE,イベントスペース,HipHop ･ R&B ･ Reggae,Closed,-,,200人,3000円,https://www.tokyo-club.net/wonder-lounge/
,港区,南青山６丁目,-,港区南青山6-7-2テラアシオス南青山1f,35.6597572,139.7171177,GRID SMART LOUNGE,ラウンジバー,House ･ Trance ･ Techno ･ Electronic ･ Dance,Closed,-,,140㎡,チャージ1500円 / カクテル800円～ ビール700円～,https://www.tokyo-club.net/grid/
,港区,六本木３丁目,六本木,港区六本木3-15-24アリエスビル5f,35.6626768,139.7352604,LA35,ラウンジバー,POPs ･ Others ･ Live,Closed,-,,120人,3000円,https://www.tokyo-club.net/la35/
,港区,南青山５丁目,-,港区南青山5-6-23スパイラルb1f,35.6636806,139.711596,CAY,ライブレストラン,All Genre ･ Live,Closed,-,,Restaurant営業100名 / LIVE営業300名,Lunch 1000円 / Dinner 3500円 / Charge 500円～,https://www.tokyo-club.net/cay/
,港区,西麻布１丁目,-,港区西麻布1-7-2econach西麻布ビル,35.6608109,139.7261258,BRAND TOKYO,エンターテイメントスペース,House ･ Techno ･ HipHop ･ Reggae ･ R&B ･ Allmix ･ Electronic ･ EDM,Closed,-,,地下1階600名 / 1階250名 / 2階150名,"木曜日
MEN : 1000yen/1D (20:00～24:00)
2000yen/2D (24:00～)
LADIES : 1000yen /FREE DRINK(ALLTIME)

金･土曜日･祝前日
MEN : 2500yen/2D (19:00～24:00)
3500yen/2D (24:00～)
LADIES : FREE ENTRY (19:00～24:00)
1000yen /2D (24:00～)",https://www.tokyo-club.net/brand-tokyo/
,港区,六本木３丁目,六本木,港区六本木3-12-5ステラ六本木b1f,35.6628525,139.7335059,88 STREET BAR,DJバー,Allmix ･ HipHop ･ Soul ･ Classics ･ Dance,Closed,-,,"2,800円 / 20:00-23:00はオールドリンク500円
エントランスフリー",-,https://www.tokyo-club.net/88-street-bar/
,港区,麻布十番２丁目,-,港区麻布十番2-5-1マニヴィア麻布10-8f,35.6564543,139.7333694,The Beach Lounge,ソウルバー ･ ラウンジ,Soul ･ Jazz ･ R&B ･ Disco,03-5772-5745,-,,3800円,2010年9月,https://www.tokyo-club.net/the-beach-lounge/
,港区,赤坂９丁目,六本木,港区赤坂9-7-2東京ミッドタウンミッドタウン･イースト1f/2f,35.6659803,139.7308747,A971,ダイニングバー ･ カフェ,Allmix,Closed,-,,ランチ1000円 / 通常2000円,2007年3月,https://www.tokyo-club.net/a971/
,港区,六本木３丁目,六本木,港区六本木3-15-24ウィン六本木3f,35.66257,139.7354893,BLUE BAR,バー,Trance ･ Allmix ･ Techno,03-3746-6191,-,,2500円,https://www.facebook.com/blue.bar.969,https://www.tokyo-club.net/blue-bar/
,港区,六本木６丁目,六本木,港区六本木6-10-1六本木ヒルズウェストウォーク1f,35.6604214,139.729972,HEARTLAND,バー,Allmix,Closed,-,,2500円,2003年4月 / 閉店: 2014年1月,https://www.tokyo-club.net/heartland/
,港区,六本木７丁目,六本木,港区六本木7-18-13金子ビル3f,35.6619659,139.7288396,port,カフェ ･ スタジオ ･ パーティースペース,Others,営業不明,-,,1800円,-,https://www.tokyo-club.net/port/
