0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
,指標名,文化財,,,,,,,,,,,,,,,,
,出典,国指定文化財等データベース,,,,,,,,,,,,,,,,
,年次,2026/3/2取得,,,,,,,,,,,,,,,,
,URL,https://kunishitei.bunka.go.jp/,,,,,,,,,,,,,,,,
,備考,（2023年：559件、2024年：578件、2025年：579件）※所在地の記載のないもの、無形を除く,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,保管施設の名称,所有者名,管理団体又は責任者
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,月礀文明墨蹟〈拈香語／〉,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,中国,元,19591208,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,月江正印墨蹟〈玉泉字号偈／至正八年仲冬〉,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,中国,元,19591218,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,月江正印墨蹟〈与楚雙峯偈語／至正三年二月十八日〉,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,中国,元,19710622,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色愛染曼荼羅図,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,鎌倉,19600609,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色愛染明王像,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,鎌倉,19420626,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色愛染明王像,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,鎌倉,19600609,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色阿弥陀如来像,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,朝鮮,高麗,19720530,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色鶉図,,国宝・重要文化財（美術工芸品）,国宝,絵画,中国,南宋,,19531114,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225118,139.7170835,絹本著色春日補陀落山曼荼羅図,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,鎌倉,20060609,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色春日宮曼荼羅図,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,鎌倉,20050609,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色華厳五十五所絵,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,平安,19490218,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色五百羅漢図〈伝明兆筆／東福寺伝来〉,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,南北朝,19420626,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色金剛界八十一尊大曼荼羅図,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,鎌倉,19490218,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色釈迦如来像,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,鎌倉,19840606,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色釈迦八相図,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,鎌倉,19630701,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色夕陽山水図〈馬麟筆／〉,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,中国,南宋,19490530,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色善光寺如来縁起絵,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,鎌倉,19750612,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色銭塘観潮図,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,中国,南宋,19590627,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色大威徳明王像,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,鎌倉,19430609,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色大日如来像,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,平安,19490218,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色那智滝図,,国宝・重要文化財（美術工芸品）,国宝,絵画,日本,鎌倉,,19510609,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色普賢十羅刹女像,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,平安,19990607,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色仏涅槃図,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,南北朝,19590627,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本著色法相宗曼荼羅図,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,鎌倉,19590627,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本墨画古木牧牛図〈毛倫筆／〉,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,中国,元,19860606,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,絹本墨画羅漢図〈／（第五諾矩尊者）〉,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,中国,元,19540320,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63231263,139.7268709,古伊賀花生〈銘からたち／〉,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,桃山,19560628,,東京都（東京都）,東京都港区白金台2-20-12,畠山記念館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,高麗青磁蓮華唐草文水瓶,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,朝鮮,高麗,19420626,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,古今集〈藤原為氏筆／〉,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,鎌倉,19430609,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.6619455,139.7149241,古今和歌集第十九断簡〈（高野切）／（旋頭歌）〉,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,平安,19590627,,東京都（東京都）,港区南青山6-5-1,根津美術館
,港区,三田２丁目,-,東京都港区三田2-15-45,35.64923529,139.7428676,後鳥羽院御抄〈并／〉越部禅尼消息,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,南北朝,19740608,,東京都（東京都）,東京都港区三田2-15-45,学校法人慶應義塾
,港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63231263,139.7268709,古備前火襷水指,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,桃山,19591218,,東京都（東京都）,東京都港区白金台2-20-12,畠山記念館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,金光明最勝王経註釈〈巻第二断筒／（飯室切）〉,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,平安,19360506,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,紺紙銀字華厳経巻第〓六〈（二月堂焼経）／〉,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,奈良,19440905,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,金銅鉢,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,奈良,19591218,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,根本百一羯磨〈巻第六／〉,,国宝・重要文化財（美術工芸品）,国宝,書跡・典籍,日本,奈良,,19510609,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,嵯峨山蒔絵硯箱,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,室町,19531114,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,三田２丁目,-,東京都港区三田2-15-45,35.64923529,139.7428676,相良家文書,,国宝・重要文化財（美術工芸品）,重要文化財,古文書,日本,鎌倉～江戸,19770611,,東京都（東京都）,東京都港区三田2-15-45,学校法人慶應義塾
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,銹藍金絵絵替皿〈尾形乾山作／〉,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,江戸,19870606,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,子元祖元墨蹟（弘安三年中夏）,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,中国・日本,南宋～鎌倉,19420626,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63231263,139.7268709,志野芦絵水指（古岸）,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,桃山,19580208,,東京都（東京都）,東京都港区白金台2-20-12,畠山記念館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,紙本淡彩山水図〈祥啓筆／〉,,国宝・重要文化財（美術工芸品）,重要文化財,絵画,日本,室町,19420626,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
