0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
,指標名,バス停,,,,,,,,,,,,
,出典,navitime,,,,,,,,,,,,
,年次,2026/01/26取得,,,,,,,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,,,,,,,
,備考,(2023年度：3645件、2024年度：3652件、2025年度：3571件),,,,,,,,,,,,
,,,,,,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面1,方面2,種類
,江東区,亀戸４丁目,-,江東区亀戸4丁目18亀戸４丁目,35.701143,139.825486,亀戸４丁目,4,0.25,草２４,都営バス,浅草寿町方面,東大島駅前〔大島口〕方面,バス停
,江東区,亀戸４丁目,-,江東区亀戸4丁目18亀戸４丁目,35.701143,139.825486,亀戸４丁目,4,0.25,里２２(日暮里駅前-亀戸駅前),都営バス,亀戸駅前方面,日暮里駅前方面,バス停
,江東区,亀戸４丁目,-,江東区亀戸4丁目18亀戸４丁目,35.701143,139.825486,亀戸４丁目,4,0.25,門３３,都営バス,亀戸駅前方面,豊海水産埠頭方面,バス停
,江東区,立花１丁目,-,江東区亀戸4丁目28−5,35.70503,139.8259,福神橋,2,0.5,里２２(日暮里駅前-亀戸駅前),都営バス,亀戸駅前方面,,バス停
,江東区,立花１丁目,-,江東区亀戸4丁目28−5,35.70503,139.8259,福神橋,2,0.5,門３３,都営バス,亀戸駅前方面,豊海水産埠頭方面,バス停
,江東区,亀戸３丁目,-,江東区亀戸5丁目1亀戸駅前,35.6979,139.8256,亀戸駅前,11,0.09090909090909091,上２６,都営バス,上野公園（東京都）方面,,バス停
,江東区,亀戸３丁目,-,江東区亀戸5丁目1亀戸駅前,35.6979,139.8256,亀戸駅前,11,0.09090909090909091,両２８,都営バス,葛西橋/第六葛西小学校前方面,,バス停
,江東区,亀戸３丁目,-,江東区亀戸5丁目1亀戸駅前,35.6979,139.8256,亀戸駅前,11,0.09090909090909091,亀２１,都営バス,東陽町駅前方面,,バス停
,江東区,亀戸３丁目,-,江東区亀戸5丁目1亀戸駅前,35.6979,139.8256,亀戸駅前,11,0.09090909090909091,亀２３(亀戸駅前-江東高齢者医療センター),都営バス,江東高齢者医療センター方面,,バス停
,江東区,亀戸３丁目,-,江東区亀戸5丁目1亀戸駅前,35.6979,139.8256,亀戸駅前,11,0.09090909090909091,亀２４,都営バス,葛西橋方面,,バス停
,江東区,亀戸３丁目,-,江東区亀戸5丁目1亀戸駅前,35.6979,139.8256,亀戸駅前,11,0.09090909090909091,亀２６,都営バス,今井〔都営バス〕方面,,バス停
,江東区,亀戸３丁目,-,江東区亀戸5丁目1亀戸駅前,35.6979,139.8256,亀戸駅前,11,0.09090909090909091,亀２９,都営バス,なぎさニュータウン方面,,バス停
,江東区,亀戸３丁目,-,江東区亀戸5丁目1亀戸駅前,35.6979,139.8256,亀戸駅前,11,0.09090909090909091,草２４,都営バス,浅草寿町方面,東大島駅前〔大島口〕方面,バス停
,江東区,亀戸３丁目,-,江東区亀戸5丁目1亀戸駅前,35.6979,139.8256,亀戸駅前,11,0.09090909090909091,里２２(日暮里駅前-亀戸駅前),都営バス,日暮里駅前方面,,バス停
,江東区,亀戸３丁目,-,江東区亀戸5丁目1亀戸駅前,35.6979,139.8256,亀戸駅前,11,0.09090909090909091,錦１１,都営バス,築地駅前方面,,バス停
,江東区,亀戸３丁目,-,江東区亀戸5丁目1亀戸駅前,35.6979,139.8256,亀戸駅前,11,0.09090909090909091,門３３,都営バス,豊海水産埠頭方面,,バス停
,江東区,亀戸６丁目,-,江東区亀戸6丁目31−6,35.6967,139.8289,水神森,4,0.25,亀２１,都営バス,亀戸駅前方面,東陽町駅前方面,バス停
,江東区,亀戸６丁目,-,江東区亀戸6丁目31−6,35.6967,139.8289,水神森,4,0.25,亀２６,都営バス,亀戸駅前方面,今井〔都営バス〕方面,バス停
,江東区,亀戸６丁目,-,江東区亀戸6丁目31−6,35.6967,139.8289,水神森,4,0.25,錦２５,都営バス,錦糸町駅前方面,葛西駅前方面,バス停
,江東区,亀戸６丁目,-,江東区亀戸6丁目31−6,35.6967,139.8289,水神森,4,0.25,錦２７,都営バス,錦糸町駅前方面,小岩駅前方面,バス停
,江東区,亀戸６丁目,-,江東区亀戸6丁目54亀戸六丁目,35.696847,139.832358,亀戸六丁目,4,0.25,亀２１,都営バス,亀戸駅前方面,東陽町駅前方面,バス停
,江東区,亀戸６丁目,-,江東区亀戸6丁目54亀戸六丁目,35.696847,139.832358,亀戸六丁目,4,0.25,亀２６,都営バス,亀戸駅前方面,今井〔都営バス〕方面,バス停
,江東区,亀戸６丁目,-,江東区亀戸6丁目54亀戸六丁目,35.696847,139.832358,亀戸六丁目,4,0.25,錦２５,都営バス,錦糸町駅前方面,葛西駅前方面,バス停
,江東区,亀戸６丁目,-,江東区亀戸6丁目54亀戸六丁目,35.696847,139.832358,亀戸六丁目,4,0.25,錦２７,都営バス,錦糸町駅前方面,小岩駅前方面,バス停
,江東区,亀戸９丁目,-,江東区亀戸7丁目39亀戸九丁目,35.697164,139.839262,亀戸九丁目,3,0.3333333333333333,亀２６,都営バス,亀戸駅前方面,今井〔都営バス〕方面,バス停
,江東区,亀戸９丁目,-,江東区亀戸7丁目39亀戸九丁目,35.697164,139.839262,亀戸九丁目,3,0.3333333333333333,錦２５,都営バス,錦糸町駅前方面,葛西駅前方面,バス停
,江東区,亀戸９丁目,-,江東区亀戸7丁目39亀戸九丁目,35.697164,139.839262,亀戸九丁目,3,0.3333333333333333,錦２７,都営バス,錦糸町駅前方面,小岩駅前方面,バス停
,江東区,亀戸７丁目,-,江東区亀戸7丁目3竪川大橋北詰,35.695102,139.83408,竪川大橋北詰,1,1,亀２１,都営バス,亀戸駅前方面,東陽町駅前方面,バス停
,江東区,亀戸７丁目,-,江東区亀戸7丁目42亀戸七丁目,35.696979,139.835518,亀戸七丁目,3,0.3333333333333333,亀２６,都営バス,亀戸駅前方面,今井〔都営バス〕方面,バス停
,江東区,亀戸７丁目,-,江東区亀戸7丁目42亀戸七丁目,35.696979,139.835518,亀戸七丁目,3,0.3333333333333333,錦２５,都営バス,錦糸町駅前方面,葛西駅前方面,バス停
,江東区,亀戸７丁目,-,江東区亀戸7丁目42亀戸七丁目,35.696979,139.835518,亀戸七丁目,3,0.3333333333333333,錦２７,都営バス,錦糸町駅前方面,小岩駅前方面,バス停
,江東区,亀戸９丁目,-,江東区亀戸9丁目9浅間神社,35.697447,139.844329,浅間神社(江東区),3,0.3333333333333333,亀２６,都営バス,亀戸駅前方面,今井〔都営バス〕方面,バス停
,江東区,亀戸９丁目,-,江東区亀戸9丁目9浅間神社,35.697447,139.844329,浅間神社(江東区),3,0.3333333333333333,錦２５,都営バス,錦糸町駅前方面,葛西駅前方面,バス停
,江東区,亀戸９丁目,-,江東区亀戸9丁目9浅間神社,35.697447,139.844329,浅間神社(江東区),3,0.3333333333333333,錦２７,都営バス,錦糸町駅前方面,小岩駅前方面,バス停
