指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2024/2/2取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,2020年度：645件、2021年度：679件、2022年度：728件、2023年度：793件）,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間
江東区,新木場一丁目,-,東京都江東区新木場1-10,35.644063,139.835762,H1-94.新木場一丁目緑地公園 / Shinkiba 1chome Ryokchi Park,-,Open for 24 hours
江東区,若洲三丁目,-,東京都江東区若洲3-2,35.618197,139.833563,H1-95.若洲公園 / H1-95.Wakasu Park,-,Open for 24 hours
江東区,越中島一丁目,-,東京都江東区越中島1-3,35.670484,139.788779,H1-96.越中島公園 / Etchujima Park,-,Open for 24 hours
江東区,塩浜一丁目,-,東京都江東区塩浜1-4,35.661063,139.800531,H1-97.浜園公園 / Hamazono Park,-,Open for 24 hours
江東区,東陽三丁目,-,東京都江東区東陽3-1,35.668526,139.808955,H1-98.洲崎川緑道公園 / Suzakigawa Ryokdo Park,-,Open for 24 hours
江東区,南砂三丁目,-,東京都江東区南砂3-14,35.669926,139.832711,H1-99.南砂三丁目公園 / Minamisuna 3chome Park,-,Open for 24 hours
江東区,亀戸二丁目,-,東京都江東区亀戸2-1-21,35.697617,139.821937,H1-100. URアーバンライフ亀戸 / UR URBAN LIFE KAMEIDO,-,Open for 24 hours
江東区,新木場一丁目,-,東京都江東区新木場1-11-16,35.64253,139.836359,H1-101.ファミリーマート新木場一丁目店 / Family Mart Shinkiba 1Chome Store,-,Open for 24 hours
江東区,東砂七丁目,-,東京都江東区東砂7-19-5,35.672804,139.837855,H1-102.ファミリーマート東砂七丁目店 / Family Mart Higashisuna 7Chome Store,-,Open for 24 hours
江東区,清澄二丁目,-,東京都江東区清澄2-2,35.680455,139.79563,H1-103.清澄庭園 / Kiyosumi Teien Park,-,Open for 24 hours
江東区,平野四丁目,-,東京都江東区平野4-6,35.678153,139.808172,H1-104.木場公園 / Kiba Park,-,Open for 24 hours
江東区,毛利二丁目,-,東京都江東区毛利2-13,35.691256,139.818115,H1-105.猿江恩賜公園 / Sarue Onshi Park,-,Open for 24 hours
江東区,亀戸八丁目,-,東京都江東区亀戸8-2,35.699415,139.835279,H1-106.亀戸中央公園 / Kameido Chuo Park,-,Open for 24 hours
江東区,大島九丁目,-,東京都東京都江東区大島9-8,35.691506,139.847078,H1-107.大島小松川公園 / Ojima Komatsugawa Park,-,Open for 24 hours
江東区,東雲一丁目,-,東京都東京都江東区東雲1-9,35.646723,139.804007,H1-108.Brillia ist 東雲キャナルコート北側 /Brillia ist Shinonome Canal Court North,-,Open for 24 hours
江東区,東雲一丁目,-,東京都江東区東雲1-9,35.647664,139.805164,H1-109.Brillia ist 東雲キャナルコート東側 / Brillia ist Shinonome Canal Court East,-,Open for 24 hours
江東区,木場六丁目,-,東京都江東区木場6-4-20,35.666807,139.807708,H1-111.ファミリーマート木場六丁目店 / Family Mart Kiba 6Chome Store,-,Open for 24 hours
江東区,塩浜二丁目,-,東京都江東区塩浜2-14-1,35.662971,139.808669,H1-112.ファミリーマート江東塩浜二丁目店 / Family Mart Koto Shiohama 2Chome Store,-,Open for 24 hours
江東区,東雲一丁目,-,東京都江東区東雲1-6-13,35.646662,139.801195,H1-113.123+N東雲店 / 123+N Shinonome Shop,-,Open for 24 hours
江東区,夢の島二丁目,-,東京都江東区夢の島2-1,35.649254,139.826495,H1-114.東京夢の島マリーナ / Tokyo Yumenoshima Marina,-,Open for 24 hours
江東区,夢の島三丁目,-,東京都江東区夢の島3-2,35.650326,139.836281,H1-115.東京夢の島マリーナ 第4駐車場 / Tokyo Yumenoshima Marina 4th Parking,-,Open for 24 hours
江東区,青海一丁目,-,東京都江東区青海1-3,35.624922,139.781323,H1-116.出会い橋高架下 / Deaibashi Bridge (underpass),-,Open for 24 hours
江東区,木場五丁目,-,東京都江東区木場5-8-40,35.671103,139.808627,H1-117.東京パークサイドビル / Tokyo Parkside Building,-,Open for 24 hours
江東区,亀戸二丁目,-,東京都江東区亀戸2-22-12,35.698281,139.825403,H1-118.ファミリーマート亀戸駅前店 / Family Mart Kameido Ekimae Store,-,Open for 24 hours
江東区,新木場三丁目,-,東京都江東区新木場3-6-6,35.638416,139.834723,"H1-119.榎戸材木店 / Enokido Lumber Co., LTD",-,Open for 24 hours
江東区,豊洲五丁目,-,東京都江東区豊洲5-6-52,35.650589,139.799276,H1-120.豊洲5丁目 / Toyosu 5 Chome,-,Open for 24 hours
江東区,南砂五丁目,-,東京都江東区南砂5-8-1,35.675464,139.829445,H1-121.南砂5丁目 / Minamisuna 5-Chome,-,Open for 24 hours
江東区,東砂四丁目,-,東京都江東区東砂4-24-1,35.679186,139.839443,H1-122.東砂スポーツセンター / Higashisuna Sports Center,-,Open for 24 hours 休館日は第2・第4月曜日(休日にあたる場合は、その翌日)、年末年始12月29日-1月3日
江東区,有明三丁目,-,東京都江東区有明3-7-3,35.634541,139.792019,H1-123.ダイワロイネットホテル東京有明 / Daiwa Roynet Hotel Tokyo-Ariake,-,Open for 24 hours
江東区,海辺,-,東京都江東区海辺2-7,35.680369,139.817943,H1-124.セブン‐イレブン江東海辺店 / Seven-Eleven Koto Umibe store,-,Open for 24 hours
江東区,牡丹二丁目,-,東京都江東区牡丹2-1,35.669612,139.795356,H1-127.古石場川親水公園 / Furuishiba river water park,-,Open for 24 hours
江東区,豊洲六丁目,-,東京都江東区豊洲6-3,35.646481,139.787899,H1-128.豊洲市場（5街区）/ Toyosu Market Block5,-,Open for 24 hours
