指標名,世界トップ企業,,,,,,,,,,,,,,,
出典,Forbes/Fortune,,,,,,,,,,,,,,,
年次,2023年,,,,,,,,,,,,,,,
URL,https://www.forbes.com/global2000, https://fortune.com/global500/2023,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,
,,,,,,,,,Forbes,,,,,,,
区,町丁,エリア,住所,緯度,経度,Name,会社名,Ranking,Rank,SALES,PROFIT,ASSETS,MARKETVALUE,Employees,URL,
港区,新橋５丁目,虎ノ門広域,東京都港区新橋５丁目１１番３号,35.66326,139.75618,Sumitomo Metal Mining,住友金属鉱山株式会社,Forbes Global 2023,929,$10.74B,$2.01B,$20.31B,$10.2B,7202,https://www.forbes.com/companies/sumitomo-metal-mining/,
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町一丁目１番２号,35.67358,139.75918,Asahi Kasei,旭化成株式会社,Forbes Global 2023,934,$20.35B,$663.5M,$28.03B,$9.82B,46751,https://www.forbes.com/companies/asahi-kasei/,
千代田区,外神田４丁目,-,東京都千代田区外神田４－１４－１,35.70057,139.77272,SMC,ＳＭＣ　株式会社,Forbes Global 2023,995,$6.18B,$1.73B,$14.39B,$33.77B,21620,https://www.forbes.com/companies/smc/,
中央区,日本橋２丁目,日八京,東京都中央区日本橋２－７－１,35.68191,139.77427,T&D Holdings,株式会社Ｔ＆Ｄホールディングス,Forbes Global 2023,996,$18.83B,$-1.58B,$129.17B,$7.01B,12236,https://www.forbes.com/companies/td-holdings/,
中央区,新川２丁目,-,東京都中央区新川２丁目２７番１号　東京住友ツインビル（東館）,35.67359,139.78445,Sumitomo Chemical,住友化学株式会社,Forbes Global 2023,1010,$22.69B,$675M,$34.49B,$5.53B,34703,https://www.forbes.com/companies/sumitomo-chemical/,
中央区,銀座６丁目,-,東京都中央区銀座６丁目１５番１号,35.66819,139.76625,Electric Power Development,電源開発株式会社,Forbes Global 2023,1084,$13.51B,$1.07B,$26.3B,$2.96B,7146,https://www.forbes.com/companies/electric-power-development/,
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１－５－２　汐留シティセンター,35.6655,139.76088,All Nippon Airways,全日本空輸株式会社,Forbes Global 2023,1095,$12.6B,$660.3M,$25.3B,$10.36B,46580,https://www.forbes.com/companies/all-nippon-airways/,
新宿区,西新宿６丁目,-,東京都新宿区西新宿６－１０－１　日土地西新宿ビル　２０Ｆ,35.6946,139.69075,Hoya,ＨＯＹＡ株式会社,Forbes Global 2023,1122,$5.38B,$1.26B,$7.61B,$39.4B,38376,https://www.forbes.com/companies/hoya/,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町２－１－１,35.6868,139.77298,Toray Industries,東レ株式会社,Forbes Global 2023,1145,$18.88B,$528.3M,$24.74B,$9.13B,48842,https://www.forbes.com/companies/toray-industries/,
港区,芝浦１丁目,-,東京都港区芝浦一丁目１番１号,35.65164,139.75797,Cosmo Energy Holdings,コスモエネルギーホールディングス株式会社,Forbes Global 2023,1146,$21.2B,$920.8M,$17.56B,$2.82B,7111,https://www.forbes.com/companies/cosmo-energy-holdings/,
港区,芝浦３丁目,-,東京都港区芝浦三丁目１番２１号,35.64507,139.74921,Mitsubishi Motors,三菱自動車工業株式会社,Forbes Global 2023,1158,$18.46B,$1.22B,$15.59B,$5.71B,80000,https://www.forbes.com/companies/mitsubishi-motors/,
港区,元赤坂１丁目,赤坂,東京都港区元赤坂１－３－１,35.67731,139.73438,Kajima,鹿島建設株式会社,Forbes Global 2023,1167,$17.87B,$794.7M,$20.95B,$6.46B,-,https://www.forbes.com/companies/kajima/,
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町一丁目１４番１０号,35.68043,139.78116,Kao,花王株式会社,Forbes Global 2023,1170,$11.79B,$654.1M,$13.08B,$18.93B,35411,https://www.forbes.com/companies/kao/,
千代田区,内幸町２丁目,-,東京都千代田区内幸町２－１－１,35.67087,139.75254,Sojitz,双日株式会社,Forbes Global 2023,1178,$18.3B,$820.9M,$19.99B,$4.43B,19463,https://www.forbes.com/companies/sojitz/,
新宿区,西新宿２丁目,-,東京都新宿区西新宿２－３－１　新宿モノリス,35.68862,139.69457,Olympus,オリンパス株式会社,Forbes Global 2023,1184,$6.86B,$1.04B,$10.55B,$22.47B,32844,https://www.forbes.com/companies/olympus/,
千代田区,内幸町２丁目,-,東京都千代田区内幸町2丁目1番1号 飯野ビルディング,35.67078,139.75233,Kawasaki Kisen Kaisha,川崎汽船株式会社,Forbes Global 2023,1245,$7.07B,$6.52B,$15.84B,$5.8B,5158,https://www.forbes.com/companies/kawasaki-kisen-kaisha/,
港区,芝５丁目,-,東京都港区芝５丁目３７－８　バンダイナムコ未来研究所,35.64464,139.74453,Bandai Namco Holdings,株式会社バンダイナムコホールディングス,Forbes Global 2023,1284,$7.63B,$878.1M,$6.88B,$15.09B,9886,https://www.forbes.com/companies/bandai-namco-holdings/,
中央区,日本橋兜町,-,東京都中央区日本橋兜町２－１,35.68254,139.77887,Japan Exchange Group,株式会社日本取引所グループ,Forbes Global 2023,1319,$992M,$342M,$617.53B,$8.5B,1197,https://www.forbes.com/companies/japan-exchange-group/,
千代田区,神田和泉町,-,東京都千代田区神田和泉町2番地,35.69952,139.77758,NIPPON EXPRESS HOLDINGS,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス株式会社,Forbes Global 2023,1320,$19.92B,$834.9M,$13.16B,$5.37B,-,https://www.forbes.com/companies/nippon-express-holdings/,
中央区,京橋１丁目,日八京,東京都中央区京橋１丁目１５番１号,35.677,139.77335,Ajinomoto,味の素株式会社,Forbes Global 2023,1326,$10.05B,$536.8M,$11.86B,$19.14B,34615,https://www.forbes.com/companies/ajinomoto/,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目９番１号,35.68173,139.76619,Daiwa Securities,大和証券株式会社,Forbes Global 2023,1327,$6.43B,$471.3M,$198.46B,$6.81B,15096,https://www.forbes.com/companies/daiwa-securities/,
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前１丁目５番１号,35.67133,139.70712,Secom,セコム株式会社,Forbes Global 2023,1328,$8.2B,$705.7M,$14.75B,$13.94B,71177,https://www.forbes.com/companies/secom/,
港区,六本木１丁目,虎ノ門,東京都港区六本木１丁目６番１号,35.66456,139.7395,SBI Holdings,ＳＢＩホールディングス株式会社,Forbes Global 2023,1351,$7.37B,$38.5M,$165.45B,$5.34B,17496,https://www.forbes.com/companies/sbi-holdings/,
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目８－１,35.66498,139.76236,Dentsu,株式会社　電通,Forbes Global 2023,1390,$9.46B,$455M,$28.36B,$9.61B,69066,https://www.forbes.com/companies/dentsu/,
港区,芝浦３丁目,-,東京都港区芝浦３丁目１−１,35.64588,139.74969,Suntory Beverage & Food,サントリー食品インターナショナル,Forbes Global 2023,1395,$11.03B,$625.9M,$13.52B,$11.73B,23485,https://www.forbes.com/companies/suntory-beverage-food/,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目５番１号,35.68254,139.76429,AGC,ＡＧＣ株式会社,Forbes Global 2023,1432,$15.48B,$-24M,$21.33B,$8.35B,57609,https://www.forbes.com/companies/agc/,
千代田区,神田練塀町,-,東京都千代田区神田練塀町３,35.70036,139.774,Tokyo Century,東京センチュリー株式会社,Forbes Global 2023,1440,$9.88B,$-25.5M,$47B,$4.23B,7634,https://www.forbes.com/companies/tokyo-century/,
港区,六本木１丁目,虎ノ門,東京都港区六本木１丁目４番５号,35.66569,139.73944,NEXON,株式会社ネクソン,Forbes Global 2023,1442,$2.69B,$762.9M,$7.9B,$20.01B,7467,https://www.forbes.com/companies/nexon/,
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷２－４４－１,35.67902,139.67535,Terumo,テルモ株式会社,Forbes Global 2023,1445,$6.07B,$663.7M,$11.7B,$22.24B,28294,https://www.forbes.com/companies/terumo/,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目６番２号,35.68412,139.76642,Advantest,株式会社アドバンテスト,Forbes Global 2023,1446,$4.13B,$962.2M,$4.51B,$15.21B,5261,https://www.forbes.com/companies/advantest/,
港区,三田３丁目,-,東京都港区三田３－５－２７,,,,,,,,,,,,,
住友不動産三田ツインビル西館,35.6439,139.74237,Unicharm,ユニ・チャーム株式会社,Forbes Global 2023,1489,$6.83B,$514M,$7.95B,$24.49B,16206,https://www.forbes.com/companies/unicharm/,,,,
中央区,日本橋２丁目,日八京,東京都中央区日本橋２丁目７番１号,35.68191,139.77427,Concordia Financial Group,株式会社　コンコルディア・フィナンシャルグループ,Forbes Global 2023,1529,$2.27B,$377.2M,$186.99B,$4.39B,5825,https://www.forbes.com/companies/concordia-financial-group/,
中央区,八重洲２丁目,日八京,東京都中央区八重洲２丁目７番２号,35.67746,139.76771,Mebuki Financial Group,株式会社めぶきフィナンシャルグループ,Forbes Global 2023,1550,$2.08B,$276M,$160.67B,$2.75B,6221,https://www.forbes.com/companies/mebuki-financial-group/,
中央区,銀座７丁目,-,東京都中央区銀座７－５－５,35.66986,139.76134,Shiseido,株式会社　資生堂,Forbes Global 2023,1570,$8.12B,$260M,$9.91B,$20.44B,33414,https://www.forbes.com/companies/shiseido/,
千代田区,大手町１丁目,大丸有,東京都千代田区大手町一丁目3番2号（経団連会館）,35.68862,139.76353,Sumitomo Forestry Co.,,住友林業株式会社,Forbes Global 2023,1580,$12.49B,$741.4M,$11.47B,$4.32B,21948,https://www.forbes.com/companies/sumitomo-forestry-co/
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目５番２号,35.66562,139.7608,Mitsui Chemicals,三井化学株式会社,Forbes Global 2023,1599,$14.27B,$569.2M,$15.81B,$4.94B,18780,https://www.forbes.com/companies/mitsui-chemicals/,
港区,港南２丁目,-,東京都港区港南２丁目１５番２号　,35.62615,139.74206,Obayashi,株式会社大林組,Forbes Global 2023,1618,$15.11B,$435.7M,$19.31B,$6.02B,15470,https://www.forbes.com/companies/obayashi/,
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町１丁目２－１０,35.68118,139.77965,Japan Securities,日本証券金融株式会社,Forbes Global 2023,1623,$462M,$44M,$102.49B,$593M,272,https://www.forbes.com/companies/japan-securities/,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町２－４－３　日本橋室町野村ビル,35.68733,139.77391,Shinsei Bank,株式会社新生銀行,Forbes Global 2023,1625,$2.5B,$177.7M,$100.9B,$3.71B,5608,https://www.forbes.com/companies/shinsei-bank/,
港区,海岸１丁目,-,東京都港区海岸１丁目１４丁目５,35.65436,139.76166,Kawasaki Heavy Industries,川崎重工業株式会社,Forbes Global 2023,1635,$12.61B,$509.5M,$18.47B,$3.71B,-,https://www.forbes.com/companies/kawasaki-heavy-industries/,
