指標名,観光地,,,,,,,,,
出典,google places API,,,,,,,,,
年次,2024/02/09取得,,,,,,,,,
URL,https://maps.googleapis.com/maps/api/place/nearbysearch,,,,,,,,,
備考,(2021年度：1925件、2022年度：1922件、2023年度：2497件),,,,,,,,,
,,,,,,,,,,
区,町丁目,エリア,住所,緯度,経度,施設名,ジャンル,星,口コミ数,place_id
千代田区,大手町１丁目,大丸有,千代田区大手町１丁目４,35.6894999,139.7602323,大手濠緑地,"tourist_attraction, point_of_interest, establishment",4.1,19,ChIJX8XwHw-MGGARDTEeZ7G1byo
千代田区,九段北３丁目,-,千代田区九段北３丁目１,35.6944726,139.7438709,桜の標本木,"tourist_attraction, point_of_interest, establishment",4.4,48,ChIJsV-c1IqNGGARKep9AmuyJ04
千代田区,大手町１丁目,大丸有,千代田区大手町１丁目３ 大手町川端緑道 親水広場,35.6906793,139.7612033,気象庁旧生物季節観測の木々,"tourist_attraction, point_of_interest, establishment",3.4,5,ChIJr6pkHMaNGGARMvwb5D2D2XQ
千代田区,千代田,-,千代田区千代田１−１,35.6865712,139.7577932,休憩所,"tourist_attraction, point_of_interest, establishment",4,2,ChIJ2TLQa_qNGGARykotPhNhxzk
千代田区,大手町１丁目,大丸有,千代田区大手町１丁目４,35.689474,139.7601244,和気清麻呂像,"tourist_attraction, point_of_interest, establishment",3.8,132,ChIJi5nZHw-MGGARjf6RhUw_QjM
千代田区,九段北３丁目,-,千代田区九段北３丁目１−１,35.694136,139.743849,靖國神社,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.4,19963,ChIJ1UOuDWiMGGARkM6Iv-ZU57U
千代田区,九段北３丁目,-,千代田区九段北３丁目１−２,35.6949553,139.7437128,蒸気機関車 C56形31号機,"tourist_attraction, point_of_interest, establishment",4.1,8,ChIJrZTVY6uNGGAR27DTFRwwEIA
千代田区,千代田,-,千代田区千代田１,35.6862332,139.7565495,江戸城天守復元模型,"tourist_attraction, point_of_interest, establishment",4.1,35,ChIJ93STsrqNGGAReyjjarHT2cg
千代田区,一番町,-,千代田区一番町２０−１０,35.6874083,139.7409245,南法眼坂,"tourist_attraction, point_of_interest, establishment",3.6,9,ChIJme_6xmWMGGARApVBn9JN0ow
千代田区,一ツ橋２丁目,-,千代田区一ツ橋２丁目１,35.6922578,139.7587186,東京外国語学校発祥の地,"tourist_attraction, point_of_interest, establishment",3.6,10,ChIJSYA74BGMGGARkRotyQ791LY
千代田区,皇居外苑,-,千代田区皇居外苑３−１,35.6836034,139.7615996,和田倉門跡,"tourist_attraction, point_of_interest, establishment",4.2,129,ChIJn_Bp6PeLGGARAfpWo7lBTcA
千代田区,皇居外苑,-,千代田区皇居外苑１−１,35.6779137,139.7584835,楠木正成 像,"tourist_attraction, point_of_interest, establishment",4.2,1160,ChIJ-SEtT_GLGGARh19OTroY4bA
千代田区,五番町,-,千代田区五番町,35.6891831,139.7345477,三年坂（五番町）,"tourist_attraction, point_of_interest, establishment",4,3,ChIJ5QigAGGMGGARZrClCx5gbDU
千代田区,三番町,-,千代田区三番町,35.68846,139.7430618,五味坂,"tourist_attraction, point_of_interest, establishment",3.5,4,ChIJ7YjDdm-MGGARQHd58om7axs
千代田区,四番町,-,千代田区四番町８−１４,35.6903348,139.7397486,東郷坂,"tourist_attraction, point_of_interest, establishment",3.2,10,ChIJa7t1YGaMGGARM9Pws0tXXt0
