,,,,,,,,,,,2023年度,昨年
指標名,保育園,,,認可保育所,https://www.fukushi.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/index.html,,,,,認可,644,603
出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,,認証A,88,98
年次,2024/2/6取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,,認証B,11,12
URL,右記参照,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,,認定こども園（幼保連携型）,7,7
備考,（2021年度：1073件、2022年度：1080件、2023年度：792件）,,,,,,,,,認定こども園（保育所型）,41,38
,,,,,,,,,,認定こども園（地方裁量型）,0,1
区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,データ時点,,,
中央区,新川１丁目,-,中央区新川１－２４－１　ユニゾ新川永代通りビル２階,35.676814,139.7852,太陽の子新川保育園,認可,95,令和5年10月1日時点,,,
中央区,新川１丁目,-,中央区新川１－２６－９　新川イワデビル１．２階,35.6761,139.784163,アイグラン保育園新川,認可,80,令和5年10月1日時点,,,
中央区,新川２丁目,-,中央区新川２－３０－３　ＮＭビル１～４Ｆ,35.67282,139.782977,ミアヘルサ保育園ひびき八丁堀,認可,80,令和5年10月1日時点,,,
中央区,入船１丁目,-,中央区入船１－１－１３,35.673746,139.778221,桜川保育園,認可,139,令和5年10月1日時点,,,
中央区,入船３丁目,-,中央区入船３－５－１０　藤和入船ビル２Ｆ,35.670803,139.776271,ブライト保育園東京入船,認可,40,令和5年10月1日時点,,,
中央区,湊１丁目,-,中央区湊１－２－９　ＴＫオフィスビルディング１～４Ｆ・Ｂ１Ｆ,35.672965,139.778847,ＴＫチルドレンズファーム湊校,認可,66,令和5年10月1日時点,,,
中央区,明石町,-,中央区明石町１２－１,35.666635,139.776739,明石町保育園,認可,128,令和5年10月1日時点,,,
中央区,明石町,-,中央区明石町７－１５　ぱぱす明石町ビル２・３階,35.667069,139.774833,ぽけっとランド明石町保育園,認可,91,令和5年10月1日時点,,,
中央区,築地３丁目,-,中央区築地３－１０－７,35.667663,139.772632,さくらさくみらい築地,認可,48,令和5年10月1日時点,,,
中央区,築地３丁目,-,中央区築地3-1-12 フィル・パークTOKYO GINZA Shintomi.Lab 1～3F,35.669609,139.774746,さくらさくみらい　新富町,認可,28,令和5年10月1日時点,,,
