指標名,ナイトライフ施設,,,,,,,,,,,,,
出典,TOKYO CLUB MAP,,,,,,,,,,,,,
年次,2024/01/31取得,,,,,,,,,,,,,
URL,https://www.tokyo-club.net/,,,,,,,,,,,,,
備考,(2021年度：343件、2022年度：344件、2023年度：514件),,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,業種,ジャンル,電話,営業時間,定休日,キャパシティ,平均利用金額,URL
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-13-3 ROOB6ビル4F,35.6476251,139.7079309,What the Dickens,ライブバー,Rock ･ POPs ･ Blues ･ Folk ･ Oldies ･ Jazz ･ IndieRock ･ ChillOut ･ Metal,03-3780-2099,17:00～,月,180名,"3,500円",https://www.tokyo-club.net/what-the-dickens/
港区,六本木７丁目,六本木,東京都港区六本木7-14-5 六本木大和ビル3F,35.6637188,139.7314324,TOKYO R Bar&Cafe,バー,Lounge music ･ Disco ･ House ･ Techno ･ Electronic ･ Jazz ･ Others,Closed,17:00-03:00 / 週末: 17:00-05:00,日,22席 (立 40名前後),"2,000円",https://www.tokyo-club.net/tokyo-r/
港区,赤坂３丁目,赤坂,東京都港区赤坂3-20-2 赤坂第3福富ビルB1F,35.6762538,139.736323,Bar Luther,バー,Black Contemporary ･ AOR ･ smooth jazz,03-6277-8016,19:00-04:00,日,15席,"3,000円",https://www.tokyo-club.net/luther/
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-16-8 常磐ビル2F,35.6566374,139.6974916,Music Bar Boogie Back,バー,HipHop ･ Jazz ･ Reggae ･ Soul ･ Funk ･ etc.,03-6455-2273,(20:00 又は 19:00から),(日 ※要確認),目算20名前後,"1,500円～",https://www.tokyo-club.net/boogie-back/
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-14-8 TSUTAYA O-EAST内2F,35.6587215,139.6956111,東間屋 (AZUMAYA),バー,Techno ･ House ･ Disco ･ Soul ･ Electro,03-6416-4184,金･土･祝前 21:00-04:00 / 木 20:00-04:00,日 (祝前日の場合を除く),(35名～ ※目算),"2,500円～
ドリンク 800円前後～",https://www.tokyo-club.net/azumaya/
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-13-11 甲斐ビルB1F,35.6943321,139.7026151,CLUB23 TOKYO,バー,HipHop ･ Allmix ･ Reggae ･ R&B ･ EUROBEAT ･ etc.,Closed,20:00-05:00,不定,(70名未満 ※目算),"男性 2,000円～ / 女性 1,000円～",https://www.tokyo-club.net/club23-tokyo/
新宿区,新宿３丁目,-,東京都新宿区新宿3-8-5 イオヤビル4F,35.6908602,139.7065196,CURTIS,バー,BlackMusic ･ Funk ･ Soul ･ Jazz ･ Reggae ･ Afrobeat ･ etc.,03-3351-2714,19:00-06:00 ※変更となる場合あり、要確認,日,カウンター5席程、テーブル席あり,"2,000円前後～",https://www.tokyo-club.net/curtis/
新宿区,新宿３丁目,-,東京都新宿区新宿3-1-32 新宿ビル2号館3F,35.6897693,139.7063957,BAR 3R,バー,Soul ･ Funk ･ Oldies ･ Others,03-6380-5850,17:00-26:00 ※日により変動する可能性あり,不定休,20名前後 ※目算,"2,500円前後",https://www.tokyo-club.net/bar-3r/
港区,六本木５丁目,六本木,東京都港区六本木5-16-52 インペリアル六本木2号館 S202,35.6616341,139.7352446,F.Y.B TOKYO,バー,Allmix ･ EDM ･ HipHop ･ etc.,Closed,21:00又は22:00より ※変動の可能性あり,日,"3,000円～",2015年7月29日,https://www.tokyo-club.net/fyb-tokyo/
港区,六本木３丁目,六本木,東京都港区六本木3-14-8 下条ビルB1F,35.6624232,139.734926,SONIDO’S BAR,バー,HipHop ･ TOP40 ･ Latin ･ EDM ･ R&B ･ Reggae,03-6447-1995,19:00-07:00,火,60名,"2,000円 (男性: エントランス料1,000円)",https://www.tokyo-club.net/sonidos-bar/
