,,,,,,,
指標名,スポーツ施設,,,,,,
出典,NAVITIME,,,,,,
年次,2024/01/12取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,(2021年度：912件、2022年度：959件、2023年度：1422件),,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
千代田区,神田松永町9丁目,-,東京都千代田区神田松永町18-2 秋葉原NORTH COURT 5F,Apple GYM(アップルジム) 秋葉原店,スポーツクラブ/フィットネスクラブ,35.7004997,139.7751325
千代田区,神田小川町3丁目,-,東京都千代田区神田小川町3丁目2-10,スノーボードショップ MDS,スキー/スノボショップ,35.6947785,139.7633536
千代田区,飯田橋1丁目,-,東京都千代田区飯田橋1丁目8-8,テスタ,スキー/スノボショップ,35.6996168,139.748376
千代田区,神田小川町2丁目,-,東京都千代田区神田小川町2-6-12,ワンゲルスポーツ,スキー/スノボショップ,35.6952403,139.7636306
千代田区,神田小川町2丁目,-,東京都千代田区神田小川町2丁目5-5,THESUNS,スポーツ用品/スポーツウェア,35.6941517,139.7629944
千代田区,鍛冶町1丁目,-,東京都千代田区鍛冶町1-5-7,株式会社本間ゴルフ神田店,ゴルフショップ,35.6900242,139.7719571
千代田区,神田神保町2丁目,-,東京都千代田区神田神保町2-10-31 iwビル6F,studio Body Link(スタジオ ボディ リンク),スポーツスクール/体験,35.6972781,139.7559241
千代田区,飯田橋4丁目,-,東京都千代田区飯田橋4丁目5-6,極真会館飯田橋道場,スポーツスクール/体験,35.7004006,139.7472605
千代田区,神田東松下町,-,東京都千代田区神田東松下町39 神田トーセイビル1F,ゴルフパフォーマンス 神田店,ゴルフ練習場,35.6940764,139.7727593
千代田区,岩本町3丁目,-,東京都千代田区岩本町3-3-6 井門岩本町ビルB1F,ゴルフパフォーマンス 秋葉原店,ゴルフ練習場,35.6952616,139.77643
千代田区,外神田3丁目,-,東京都千代田区外神田3-6-2F H協和スクエア502号,パーソナルトレーニングジム ティーバランス秋葉原店,スポーツクラブ/フィットネスクラブ,-,-
千代田区,平河町2丁目,-,東京都千代田区平河町2-4-5,HYPERION GOLF STUDIO(ヒューぺリオン ゴルフ スタジオ) 麹町店,ゴルフ練習場,35.6821431,139.7383986
千代田区,内神田2丁目,-,東京都千代田区内神田2丁目1-8,千代田区立スポーツセンター弓道場,スポーツ施設/運動公園,35.6891363,139.7676839
千代田区,丸の内3丁目,大丸有,東京都千代田区丸の内3丁目2,セントラルスポーツジム&ラン丸の内二重橋,スポーツクラブ/フィットネスクラブ,35.6779421,139.761055
千代田区,三番町,-,東京都千代田区三番町1,セントラルスポーツジム24三番町,スポーツクラブ/フィットネスクラブ,35.6893658,139.7449289
千代田区,神田須田町2丁目,-,東京都千代田区神田須田町2丁目1-1,PHOENIXキックボクシング&ムエタイジム,スポーツ施設/運動公園,35.6959495,139.7715061
千代田区,神田小川町3丁目,-,東京都千代田区神田小川町3丁目2-14,スノーボードショップ SELECT,スキー/スノボショップ,35.6946613,139.7629917
千代田区,神田神保町1丁目,-,東京都千代田区神田神保町1-22-8,株式会社カンダハー ウェア店,スキー/スノボショップ,35.6968876,139.7596725
千代田区,神田三崎町3丁目,-,東京都千代田区神田三崎町3丁目6-14,フィットネスショップ水道橋店,スポーツ用品/スポーツウェア,35.7015958,139.7514991
千代田区,飯田橋1丁目,-,東京都千代田区飯田橋1丁目7-11,山田吉邦弓具店,スポーツ用品/スポーツウェア,35.6990256,139.748987
千代田区,永田町2丁目,赤坂,東京都千代田区永田町2丁目4-11,フレンドシップカントリークラブ,ゴルフ場,35.6721264,139.7421707
千代田区,内神田3丁目,-,東京都千代田区内神田3-21-5,村井スポーツ株式会社,社会関連,35.6927583,139.7703941
千代田区,神田小川町2丁目,-,東京都千代田区神田小川町2-6-1,リバティ,スポーツ用品/スポーツウェア,35.6949732,139.7635907
千代田区,神田駿河台1丁目,-,東京都千代田区神田駿河台1丁目5-6,トレードウインドマリーン,スポーツスクール/体験,35.6988677,139.761095
千代田区,鍛冶町2丁目,-,東京都千代田区鍛冶町2丁目8-7,アナライズ神田スタジオ,ゴルフショップ,35.6927017,139.7727759
千代田区,神田小川町3丁目,-,東京都千代田区神田小川町3-24-15,スポーツ・バンプス,スポーツ用品/スポーツウェア,35.6955046,139.7628023
千代田区,神田小川町3丁目,-,東京都千代田区神田小川町3丁目24-15,スポーツオーパ、ハング・パラスクール,スポーツスクール/体験,35.6955046,139.7628023
千代田区,神田小川町3丁目,-,東京都千代田区神田小川町3-28-13,ナビゲーションスクール,スポーツスクール/体験,35.6957555,139.7631714
千代田区,神田三崎町3丁目,-,東京都千代田区神田三崎町3丁目6-12,レックゴルフスクール水道橋,スポーツスクール/体験,35.7017115,139.7514187
千代田区,永田町2丁目,赤坂,東京都千代田区永田町2丁目13-10,WOW’D赤坂店,スポーツクラブ/フィットネスクラブ,35.6760427,139.7387059
