指標名,スタートアップ企業,,,,,,,,,,,,
出典,IINITIAL,,,,,,,,,,,,
年次,2024/02/06取得,,,,,,,,,,,,
URL,https://initial.inc/companies,,,,,,,,,,,,
備考,(2021年度：8785件、2022年度：-件、2023年度：11361件),,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,会社名,代表者,従業員数,総調達額,URL,設立,タイプ,業種
渋谷区,宇田川町１４丁目,-,東京都渋谷区宇田川町14-13 宇田川町ビルディング2F,35.662154,139.6982571,株式会社eventures,三瓶　誠,,,https://eventures.co.jp/,2017/7/6,未公開企業,ビジネスサービス
渋谷区,宇田川町１６丁目,-,東京都渋谷区宇田川町16-8 渋谷センタービル3F,35.6608449,139.699015,株式会社Engineerforce,飯田　佳明,11,"37,000",https://engineerforce.io/index.jp.html,2020/8/4,未公開企業,コンピューター - ITサービス
渋谷区,宇田川町１９丁目,-,東京都渋谷区宇田川町19-5,35.6616876,139.6995168,マテバ株式会社,筒井　太一朗,,,https://mateba.jp,2020/11/1,未公開企業,ビジネスサービス
渋谷区,宇田川町２丁目,-,東京都渋谷区宇田川町2-1,35.663663,139.6987557,goooods株式会社,菅野　圭介,16,"618,158",https://goooods.com/,2021/10/20,未公開企業,コンピューター - ITサービス
渋谷区,宇田川町２丁目,-,東京都渋谷区宇田川町2-1,35.663663,139.6987557,cocoa motors.株式会社,佐藤　国亮,4,"918,330",http://www.cocoamotors.com/,2013/8/1,未公開企業,環境関連
渋谷区,宇田川町２丁目,-,東京都渋谷区宇田川町2-1-503,35.663663,139.6987557,RoboMarketer株式会社,岡崎　哲朗,6,"41,000",http://robomarketer.net/,2017/6/12,未公開企業,コンピューター - ITサービス
渋谷区,宇田川町２丁目,-,東京都渋谷区宇田川町2-1 渋谷ホームズ1307,35.663663,139.6987557,株式会社ユウトハンズ,城野　徹,6,"20,000",http://www.youtohands.jp/,2000/10/18,未公開企業,ビジネスサービス
渋谷区,宇田川町２丁目,-,東京都渋谷区宇田川町2-1 渋谷ホームズ1308,35.663663,139.6987557,株式会社ピリカ,小嶌　不二夫,25,"420,180",https://corp.pirika.org/,2011/11/21,未公開企業,環境関連 ICT
渋谷区,宇田川町２丁目,-,東京都渋谷区宇田川町2-1 渋谷ホームズ807,35.663663,139.6987557,Cynack株式会社,吉村　啓,0,"70,198",https://cynack.com,2016/11/1,未公開企業,コンピューター - ソフトウェア
渋谷区,宇田川町２丁目,-,東京都渋谷区宇田川町2-1 渋谷ホームズ1305,35.663663,139.6987557,株式会社banshaku,中山　顕洋,,"1,000",https://about.banshaku.ch/,2022/9/1,未公開企業,消費者向けサービス・販売
渋谷区,宇田川町２丁目,-,東京都渋谷区宇田川町2-1渋谷ホームズ519号,35.663663,139.6987557,エクスプリズム株式会社,島田　正彦,,"30,000",http://www.ideal.ne.jp,1998/9/1,未公開企業,
渋谷区,宇田川町２丁目,-,東京都渋谷区宇田川町2-1 渋谷ホームズ713号,35.663663,139.6987557,Coeto株式会社,湊　健二,1,"73,054",https://coeto.co/,2020/9/1,未公開企業,コンピューター - ITサービス
渋谷区,宇田川町２丁目,-,東京都渋谷区宇田川町2-1 渋谷ホームズ 1111号,35.663663,139.6987557,KNOWTE株式会社,山下　晋太郎,3,"27,093",https://www.knowte.jp/,2017/5/9,未公開企業,コンピューター - ITサービス
渋谷区,宇田川町２丁目,-,東京都渋谷区宇田川町2-1 渋谷ホームズ 824号室,35.663663,139.6987557,モバイルバリュージャパン株式会社,野下　義幸,1,"32,000",http://www.mvjpn.com/,2005/11/1,未公開企業,コンピューター - ITサービス
渋谷区,宇田川町２丁目,-,東京都渋谷区宇田川町2-1 渋谷ホームズ1306号室,35.663663,139.6987557,TieUps株式会社,小原　史啓,16,"430,000",https://tieups.com/,2020/4/30,未公開企業,消費者向けサービス・販売
渋谷区,宇田川町２丁目,-,東京都渋谷区宇田川町2-1 渋谷ホームズ13階1305号室,35.663663,139.6987557,THINGMEDIA株式会社,田中　博之,20,"5,200",https://thingmedia.co/,2018/3/16,未公開企業,ビジネスサービス
渋谷区,宇田川町２丁目,-,東京都渋谷区宇田川町2-1,35.663663,139.6987557,goooods株式会社,菅野　圭介,16,618158,https://goooods.com/,44489,未公開企業,コンピューター - ITサービス
